日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-06-28,30.23,29.87,30.87,29.78,210196,648530208.0,3.6,-1.32,-0.4,1.16
2018-06-29,30.1,31.57,31.65,29.91,390712,1229962448.0,5.83,5.69,1.7,2.15
2018-07-02,31.78,31.38,32.3,30.75,366121,1176044848.0,4.91,-0.6,-0.19,2.02
2018-07-03,31.3,32.35,32.88,31.02,434482,1409745488.0,5.93,3.09,0.97,2.39
2018-07-04,32.25,31.44,32.41,31.35,284059,917961504.0,3.28,-2.81,-0.91,1.56
2018-07-05,31.29,30.35,31.66,30.27,251026,789411104.0,4.42,-3.47,-1.09,1.38
2018-07-06,30.65,30.54,31.43,30.0,299642,935139728.0,4.71,0.63,0.19,1.65
2018-07-09,30.99,31.45,31.6,30.8,285750,909854912.0,2.62,2.98,0.91,1.57
2018-07-10,31.4,31.52,31.59,31.08,221001,703737536.0,1.62,0.22,0.07,1.22
2018-07-11,30.9,30.77,31.16,30.36,256712,801386592.0,2.54,-2.38,-0.75,1.41
2018-07-12,30.96,32.11,32.5,30.95,472156,1532055440.0,5.04,4.35,1.34,2.6
2018-07-13,32.11,32.14,32.26,31.79,252270,821446112.0,1.46,0.09,0.03,1.39
2018-07-16,32.4,32.12,32.64,31.86,204696,667995904.0,2.43,-0.06,-0.02,1.13
2018-07-17,32.29,31.64,32.29,31.14,263150,842081456.0,3.58,-1.49,-0.48,1.45
2018-07-18,31.81,31.2,31.88,31.15,203353,650771920.0,2.31,-1.39,-0.44,1.12
2018-07-19,31.3,30.52,31.35,30.4,228464,714175648.0,3.04,-2.18,-0.68,1.26
2018-07-20,30.49,31.11,31.3,30.36,239015,752037216.0,3.08,1.93,0.59,1.32
2018-07-23,31.06,31.9,31.98,30.85,312752,1003683584.0,3.63,2.54,0.79,1.72
2018-07-24,32.11,32.4,32.66,31.72,440120,1445287728.0,2.95,1.57,0.5,2.42
2018-07-25,32.6,32.18,33.05,31.98,336436,1108697456.0,3.3,-0.68,-0.22,1.85
2018-07-26,32.17,31.8,32.39,31.53,222351,718874176.0,2.67,-1.18,-0.38,1.23
2018-07-27,31.88,31.5,31.99,31.33,160512,515031632.0,2.08,-0.94,-0.3,0.88
