日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-06-29,30.81,31.57,31.65,29.0,1389520,4313434768.0,8.73,4.02,1.22,7.66
2018-07-06,31.78,30.54,32.88,30.0,1635329,5228302672.0,9.12,-3.26,-1.03,9.01
2018-07-13,30.99,32.14,32.5,30.36,1487889,4768480592.0,7.01,5.24,1.6,8.2
2018-07-20,32.4,31.11,32.64,30.36,1138679,3627062144.0,7.09,-3.2,-1.03,6.27
2018-07-27,31.06,31.5,33.05,30.85,1472171,4791574576.0,7.07,1.25,0.39,8.11
2018-08-03,31.48,28.63,32.14,28.5,1240250,3826101920.0,11.56,-9.11,-2.87,6.83
2018-08-10,28.51,29.57,29.81,26.43,1923165,5466410816.0,11.81,3.28,0.94,10.6
2018-08-17,29.2,28.3,30.39,28.11,1678943,5011204208.0,7.71,-4.29,-1.27,9.24
2018-08-24,28.0,28.66,29.69,27.8,1341169,3936347280.0,6.68,1.27,0.36,7.38
2018-08-31,28.9,30.75,31.85,28.76,2428170,7551632304.0,10.78,7.29,2.09,13.36
2018-09-07,30.5,30.37,31.84,29.95,1935359,6105234640.0,6.15,-1.24,-0.38,10.65
2018-09-14,30.3,28.95,30.3,28.4,1229488,3639669920.0,6.26,-4.68,-1.42,6.76
2018-09-21,28.95,29.6,30.07,28.41,1344737,4011512480.0,5.73,2.25,0.65,7.4
2018-09-28,28.3,28.07,28.88,27.61,1120067,3225515648.0,4.29,-5.17,-1.53,6.16
2018-10-12,27.38,22.61,27.56,21.33,1629763,4081748800.0,22.19,-19.45,-5.46,8.97
2018-10-19,22.5,20.88,22.95,19.3,2564775,5431315040.0,16.14,-7.65,-1.73,14.11
2018-10-26,21.3,21.7,23.58,20.8,2298803,5217110192.0,13.31,3.93,0.82,12.65
2018-11-02,21.75,24.25,24.44,20.5,2822931,6754045680.0,18.16,11.75,2.55,15.53
2018-11-09,24.24,23.24,24.87,23.01,1831523,4452070432.0,7.67,-4.16,-1.01,10.08
2018-11-16,22.98,25.01,25.4,22.88,2058224,5118507904.0,10.84,7.62,1.77,11.32
2018-11-23,24.98,24.3,25.64,23.61,2195689,5552351344.0,8.12,-2.84,-0.71,12.08
2018-11-30,24.3,24.12,25.23,23.44,1324909,3301689280.0,7.37,-0.74,-0.18,7.29
2018-12-07,25.29,23.98,25.3,23.91,1145919,2876893488.0,5.76,-0.58,-0.14,6.3
2018-12-14,23.7,24.24,25.25,23.51,1072548,2666136691.0,7.26,1.08,0.26,5.89
2018-12-21,24.1,22.75,24.46,22.48,1030512,2474959184.0,8.17,-6.15,-1.49,5.66
2018-12-28,22.73,24.14,24.61,22.55,1227351,2981448144.0,9.05,6.11,1.39,6.74
2019-01-04,24.13,26.63,26.96,24.11,1431243,3693676288.0,11.81,10.31,2.49,7.86
2019-01-11,26.99,28.47,29.78,26.7,2833668,8239755872.0,11.57,6.91,1.84,15.56
2019-01-18,28.9,27.63,29.68,27.14,1985528,5706591584.0,8.92,-2.95,-0.84,10.9
2019-01-25,27.91,27.7,28.47,27.29,1459155,4152865680.0,4.27,0.25,0.07,8.01
2019-02-01,28.15,28.0,29.05,25.6,1998233,5602440176.0,12.45,1.08,0.3,10.97
