日期,10均线,5均线,20均线,50均线,150均线
2018-06-28,,,,,
2018-06-29,,,,,
2018-07-02,,,,,
2018-07-03,,,,,
2018-07-04,,31.322,,,
2018-07-05,,31.418,,,
2018-07-06,,31.212,,,
2018-07-09,,31.226,,,
2018-07-10,,31.06,,,
2018-07-11,31.124,30.926,,,
2018-07-12,31.348,31.278,,,
2018-07-13,31.405,31.598,,,
2018-07-16,31.479,31.732,,,
2018-07-17,31.408,31.756,,,
2018-07-18,31.384,31.842,,,
2018-07-19,31.401,31.524,,,
2018-07-20,31.458,31.318,,,
2018-07-23,31.503,31.274,,,
2018-07-24,31.591,31.426,,,
2018-07-25,31.732,31.622,31.428,,
2018-07-26,31.701,31.878,31.524,,
2018-07-27,31.637,31.956,31.521,,
2018-07-30,31.598,31.922,31.538,,
2018-07-31,31.525,31.624,31.467,,
2018-08-01,31.467,31.312,31.426,,
2018-08-02,31.354,30.83,31.377,,
2018-08-03,31.106,30.256,31.282,,
2018-08-06,30.627,29.332,31.065,,
2018-08-07,30.162,28.7,30.876,,
2018-08-08,29.608,27.904,30.67,,
2018-08-09,29.223,27.616,30.462,,
2018-08-10,29.03,27.804,30.333,,
2018-08-13,28.881,28.43,30.24,,
2018-08-14,28.752,28.804,30.138,,
2018-08-15,28.581,29.258,30.024,,
2018-08-16,28.529,29.442,29.941,,
2018-08-17,28.496,29.188,29.801,,
2018-08-20,28.685,28.94,29.656,,
2018-08-21,28.85,28.896,29.506,,
2018-08-22,29.018,28.778,29.313,,
2018-08-23,29.093,28.744,29.158,,
2018-08-24,29.002,28.816,29.016,,
2018-08-27,28.947,28.954,28.914,,
2018-08-28,28.929,28.962,28.84,,
2018-08-29,29.178,29.578,28.88,,
2018-08-30,29.443,30.142,28.986,,
2018-08-31,29.688,30.56,29.092,,
2018-09-03,29.893,30.832,29.289,,
2018-09-04,30.087,31.212,29.468,,
2018-09-05,30.328,31.078,29.673,30.362,
2018-09-06,30.571,31.0,29.832,30.387,
2018-09-07,30.742,30.924,29.872,30.363,
2018-09-10,30.635,30.438,29.791,30.308,
2018-09-11,30.582,29.952,29.756,30.239,
2018-09-12,30.314,29.55,29.746,30.185,
2018-09-13,30.082,29.164,29.762,30.162,
2018-09-14,29.902,28.88,29.795,30.13,
2018-09-17,29.714,28.99,29.803,30.084,
2018-09-18,29.506,29.06,29.796,30.039,
