日期,上轨,中轴10,下轨
2018-07-30,0.0,0.0,0.0
2018-07-31,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0
2018-08-02,0.0,0.0,0.0
2018-08-03,0.0,0.0,0.0
2018-08-06,0.0,0.0,0.0
2018-08-07,0.0,0.0,0.0
2018-08-08,0.0,0.0,0.0
2018-08-09,0.0,0.0,0.0
2018-08-10,32.163,28.93,25.697
2018-08-13,31.615,28.781,25.947
2018-08-14,31.209,28.652,26.095
2018-08-15,30.725,28.481,26.237
2018-08-16,30.619,28.429,26.239
2018-08-17,30.589,28.396,26.203
2018-08-20,30.585,28.585,26.585
2018-08-21,30.685,28.75,26.815
2018-08-22,30.257,28.918,27.579
2018-08-23,30.157,28.993,27.829
2018-08-24,30.045,28.902,27.759
2018-08-27,29.78,28.847,27.914
2018-08-28,29.715,28.829,27.943
2018-08-29,30.804,29.078,27.352
2018-08-30,31.546,29.343,27.14
2018-08-31,31.773,29.588,27.403
2018-09-03,32.064,29.793,27.522
2018-09-04,32.384,29.987,27.59
2018-09-05,32.333,30.228,28.123
2018-09-06,32.313,30.471,28.629
2018-09-07,31.996,30.642,29.288
2018-09-10,32.308,30.535,28.762
2018-09-11,32.419,30.482,28.545
2018-09-12,32.355,30.214,28.073
2018-09-13,32.051,29.982,27.913
2018-09-14,31.92,29.802,27.684
2018-09-17,31.622,29.614,27.606
2018-09-18,31.105,29.406,27.707
2018-09-19,30.825,29.313,27.801
2018-09-20,30.141,29.144,28.147
2018-09-21,29.784,29.067,28.35
2018-09-25,29.829,29.048,28.267
2018-09-26,29.88,29.003,28.126
2018-09-27,30.084,28.908,27.732
2018-09-28,30.087,28.795,27.503
2018-10-08,30.466,28.554,26.642
2018-10-09,30.515,28.302,26.089
2018-10-10,30.441,28.016,25.591
2018-10-11,30.728,27.407,24.086
2018-10-12,30.878,26.724,22.57
2018-10-15,30.55,25.97,21.39
2018-10-16,30.719,25.107,19.495
2018-10-17,30.118,24.304,18.49
2018-10-18,29.371,23.555,17.739
2018-10-19,28.037,22.836,17.635
2018-10-22,27.106,22.484,17.862
2018-10-23,25.863,22.098,18.333
2018-10-24,24.222,21.685,19.148
2018-10-25,23.674,21.484,19.294
2018-10-26,23.478,21.393,19.308
2018-10-29,23.382,21.332,19.282
2018-10-30,23.265,21.526,19.787
2018-10-31,23.247,21.69,20.133
2018-11-01,23.685,22.046,20.407
2018-11-02,24.217,22.383,20.549
2018-11-05,24.688,22.524,20.36
2018-11-06,24.874,22.615,20.356
2018-11-07,25.012,22.734,20.456
2018-11-08,25.04,22.886,20.732
2018-11-09,25.017,23.04,21.063
2018-11-12,24.929,23.277,21.625
2018-11-13,24.771,23.503,22.235
2018-11-14,24.426,23.675,22.924
2018-11-15,24.788,23.78,22.772
2018-11-16,25.059,23.856,22.653
2018-11-19,25.22,23.906,22.592
2018-11-20,25.266,23.961,22.656
2018-11-21,25.307,24.055,22.803
2018-11-22,25.516,24.263,23.01
2018-11-23,25.38,24.369,23.358
2018-11-26,25.342,24.412,23.482
2018-11-27,25.344,24.477,23.61
2018-11-28,25.249,24.557,23.865
2018-11-29,25.245,24.466,23.687
2018-11-30,25.136,24.377,23.618
2018-12-03,25.11,24.369,23.628
2018-12-04,25.173,24.424,23.675
2018-12-05,25.205,24.454,23.703
2018-12-06,24.954,24.324,23.694
2018-12-07,24.974,24.292,23.61
2018-12-10,25.011,24.249,23.487
2018-12-11,24.947,24.178,23.409
2018-12-12,24.884,24.101,23.318
2018-12-13,24.889,24.119,23.349
2018-12-14,24.898,24.131,23.364
2018-12-17,24.701,24.05,23.399
2018-12-18,24.462,23.977,23.492
2018-12-19,24.234,23.862,23.49
2018-12-20,24.414,23.77,23.126
2018-12-21,24.57,23.647,22.724
2018-12-24,24.559,23.588,22.617
2018-12-25,24.503,23.535,22.567
2018-12-26,24.463,23.498,22.533
2018-12-27,24.393,23.474,22.555
2018-12-28,24.355,23.464,22.573
2019-01-02,24.551,23.514,22.477
2019-01-03,24.891,23.601,22.311
2019-01-04,26.078,23.909,21.74
2019-01-07,27.961,24.478,20.995
2019-01-08,29.014,25.055,21.096
2019-01-09,29.768,25.581,21.394
2019-01-10,30.373,26.116,21.859
2019-01-11,30.628,26.618,22.608
2019-01-14,30.767,27.089,23.411
2019-01-15,30.679,27.54,24.401
2019-01-16,30.285,27.915,25.545
2019-01-17,29.49,28.156,26.822
2019-01-18,29.172,28.256,27.34
2019-01-21,29.074,28.174,27.274
2019-01-22,29.04,28.088,27.136
2019-01-23,28.972,28.027,27.082
2019-01-24,28.835,27.979,27.123
2019-01-25,28.742,27.902,27.062
2019-01-28,28.644,27.874,27.104
2019-01-29,28.56,27.854,27.148
2019-01-30,28.998,27.615,26.232
