日期,5均线,10均线,20均线,50均线,150均线
2018-07-30,31.63,31.63,31.63,31.63,31.63
2018-07-31,31.357,31.481,31.552,31.598,31.619
2018-08-01,31.078,31.306,31.454,31.556,31.605
2018-08-02,30.482,30.94,31.248,31.467,31.574
2018-08-03,29.831,30.502,30.989,31.352,31.534
2018-08-06,28.891,29.867,30.61,31.181,31.474
2018-08-07,28.477,29.464,30.328,31.043,31.423
2018-08-08,27.831,28.932,29.967,30.866,31.358
2018-08-09,27.838,28.735,29.766,30.748,31.312
2018-08-10,28.382,28.869,29.737,30.698,31.288
2018-08-13,28.968,29.1,29.776,30.676,31.272
2018-08-14,29.152,29.176,29.751,30.631,31.249
2018-08-15,29.038,29.11,29.662,30.559,31.217
2018-08-16,28.949,29.048,29.577,30.489,31.184
2018-08-17,28.699,28.894,29.446,30.399,31.145
2018-08-20,28.766,28.895,29.394,30.341,31.115
2018-08-21,28.944,28.969,29.385,30.3,31.091
2018-08-22,28.703,28.832,29.274,30.218,31.053
2018-08-23,28.668,28.79,29.21,30.155,31.021
2018-08-24,28.632,28.748,29.148,30.092,30.988
2018-08-27,28.952,28.901,29.19,30.072,30.969
2018-08-28,29.081,28.981,29.204,30.044,30.948
2018-08-29,29.821,29.403,29.404,30.093,30.953
2018-08-30,30.354,29.77,29.596,30.145,30.959
2018-08-31,30.453,29.93,29.696,30.165,30.955
2018-09-03,30.618,30.115,29.816,30.196,30.955
2018-09-04,30.826,30.32,29.951,30.237,30.958
2018-09-05,30.76,30.376,30.016,30.252,30.954
2018-09-06,30.85,30.495,30.113,30.283,30.955
2018-09-07,30.657,30.454,30.128,30.282,30.946
2018-09-10,29.945,30.102,29.974,30.213,30.914
2018-09-11,29.566,29.867,29.864,30.158,30.886
2018-09-12,29.251,29.641,29.745,30.098,30.856
2018-09-13,29.201,29.542,29.684,30.058,30.833
2018-09-14,29.084,29.416,29.604,30.011,30.806
2018-09-17,29.079,29.353,29.553,29.974,30.783
2018-09-18,29.106,29.318,29.516,29.942,30.762
2018-09-19,29.304,29.388,29.533,29.933,30.748
2018-09-20,29.316,29.379,29.515,29.91,30.729
2018-09-21,29.377,29.401,29.514,29.893,30.713
2018-09-25,29.028,29.206,29.401,29.832,30.681
2018-09-26,28.805,29.052,29.302,29.774,30.651
2018-09-27,28.427,28.801,29.146,29.692,30.611
2018-09-28,28.275,28.65,29.034,29.624,30.576
2018-10-08,27.663,28.248,28.787,29.499,30.521
2018-10-09,27.292,27.939,28.574,29.384,30.469
2018-10-10,26.961,27.641,28.358,29.263,30.414
2018-10-11,25.844,26.908,27.905,29.041,30.323
2018-10-12,24.733,26.109,27.392,28.785,30.22
2018-10-15,23.809,25.354,26.874,28.517,30.111
2018-10-16,22.439,24.326,26.191,28.172,29.973
2018-10-17,21.736,23.6,25.633,27.864,29.845
2018-10-18,21.217,22.978,25.114,27.563,29.717
2018-10-19,21.072,22.578,24.701,27.297,29.599
2018-10-22,21.688,22.64,24.531,27.125,29.51
2018-10-23,22.022,22.649,24.356,26.951,29.42
2018-10-24,22.071,22.562,24.148,26.764,29.324
2018-10-25,21.914,22.387,23.905,26.561,29.221
2018-10-26,21.809,22.244,23.686,26.367,29.12
2018-10-29,21.656,22.082,23.463,26.17,29.018
2018-10-30,21.651,22.001,23.289,25.992,28.92
2018-10-31,21.757,21.996,23.164,25.835,28.828
2018-11-01,22.418,22.313,23.219,25.752,28.76
2018-11-02,22.995,22.647,23.307,25.69,28.699
2018-11-05,23.44,22.953,23.405,25.636,28.641
2018-11-06,23.494,23.071,23.423,25.556,28.575
2018-11-07,23.449,23.123,23.417,25.47,28.506
2018-11-08,23.339,23.123,23.389,25.378,28.434
2018-11-09,23.273,23.126,23.365,25.29,28.364
2018-11-12,23.422,23.234,23.399,25.229,28.303
2018-11-13,23.581,23.355,23.447,25.177,28.244
2018-11-14,23.618,23.416,23.47,25.118,28.184
2018-11-15,24.008,23.666,23.596,25.105,28.139
2018-11-16,24.309,23.892,23.721,25.098,28.096
2018-11-19,24.483,24.062,23.826,25.087,28.053
2018-11-20,24.372,24.078,23.857,25.051,28.001
2018-11-21,24.348,24.119,23.899,25.021,27.952
2018-11-22,24.632,24.315,24.023,25.028,27.916
2018-11-23,24.488,24.294,24.04,24.996,27.867
2018-11-26,24.375,24.268,24.051,24.962,27.817
2018-11-27,24.434,24.319,24.098,24.946,27.774
2018-11-28,24.452,24.35,24.135,24.928,27.731
2018-11-29,24.262,24.265,24.111,24.887,27.68
2018-11-30,24.181,24.22,24.102,24.853,27.631
2018-12-03,24.371,24.317,24.164,24.849,27.593
2018-12-04,24.48,24.386,24.215,24.843,27.555
2018-12-05,24.52,24.425,24.252,24.834,27.516
2018-12-06,24.314,24.33,24.218,24.797,27.468
2018-12-07,24.169,24.248,24.186,24.761,27.42
2018-12-10,24.019,24.152,24.142,24.72,27.371
