日期,difference,avg_gain_7,avg_loss_7,avg_gain_14,avg_loss_14,RSI_7,RSI_14,SMA_7
2008-05-12,0.0,0.08,0.0114,0.0607,0.0286,87.497,67.918,0.0
2008-05-13,0.23,0.1014,0.0098,0.0728,0.0265,91.157,73.258,0.0
2008-05-14,0.05,0.0941,0.0084,0.0712,0.0246,91.775,74.267,0.0
2008-05-15,0.0,0.0806,0.0072,0.0661,0.0229,91.77,74.215,0.0
2008-05-16,-0.08,0.0691,0.0176,0.0614,0.027,79.67,69.402,0.0
2008-05-19,0.26,0.0964,0.0151,0.0756,0.025,86.427,75.094,0.0
2008-05-20,0.02,0.0855,0.0129,0.0716,0.0232,86.86,75.472,87.879
2008-05-21,0.02,0.0761,0.0111,0.0679,0.0216,87.241,75.811,87.843
2008-05-22,-0.09,0.0652,0.0224,0.0631,0.0265,74.399,70.369,85.449
2008-05-23,0.14,0.0759,0.0192,0.0686,0.0246,79.781,73.55,83.735
2008-05-26,-0.1,0.0651,0.0307,0.0637,0.03,67.924,67.928,80.329
2008-05-27,-0.13,0.0558,0.0449,0.0591,0.0371,55.382,61.38,76.859
2008-05-28,0.04,0.0535,0.0385,0.0577,0.0345,58.122,62.526,72.816
2008-05-29,0.09,0.0587,0.033,0.06,0.032,63.983,65.162,69.547
2008-05-30,0.04,0.0561,0.0283,0.0586,0.0297,66.439,66.31,66.576
2008-06-02,-0.03,0.0481,0.0285,0.0544,0.0297,62.764,64.63,64.914
2008-06-03,0.19,0.0683,0.0244,0.0641,0.0276,73.649,69.847,64.038
2008-06-04,-0.04,0.0586,0.0267,0.0595,0.0285,68.669,67.559,64.144
2008-06-05,0.02,0.0531,0.0229,0.0567,0.0265,69.838,68.094,66.209
2008-06-06,0.03,0.0498,0.0196,0.0548,0.0246,71.728,68.963,68.153
2008-06-10,-0.15,0.0427,0.0382,0.0509,0.0335,52.751,60.253,66.548
2008-06-11,-0.08,0.0366,0.0442,0.0473,0.0368,45.267,56.188,63.524
2008-06-12,-0.02,0.0313,0.0407,0.0439,0.0356,43.442,55.165,60.763
2008-06-13,-0.2,0.0269,0.0635,0.0407,0.0474,29.727,46.143,54.489
2008-06-16,-0.07,0.023,0.0644,0.0378,0.049,26.286,43.493,48.434
2008-06-17,-0.14,0.0197,0.0752,0.0351,0.0555,20.729,38.687,41.419
2008-06-18,0.12,0.0341,0.0645,0.0412,0.0515,34.554,44.389,36.108
2008-06-19,-0.18,0.0292,0.081,0.0383,0.0607,26.467,38.632,32.353
2008-06-20,0.06,0.0336,0.0694,0.0398,0.0564,32.591,41.317,30.542
2008-06-23,-0.04,0.0288,0.0652,0.037,0.0552,30.608,40.075,28.709
2008-06-24,0.12,0.0418,0.0559,0.0429,0.0513,42.754,45.486,30.57
2008-06-25,0.03,0.0401,0.0479,0.042,0.0476,45.538,46.82,33.32
2008-06-26,-0.04,0.0344,0.0468,0.039,0.0471,42.335,45.241,36.407
2008-06-27,-0.14,0.0295,0.0601,0.0362,0.0537,32.894,40.212,36.17
2008-06-30,0.05,0.0324,0.0515,0.0372,0.0499,38.587,42.655,37.901
