日期,支撑线,阻力线
2008-05-12,-6.72,3.965
2008-05-13,-6.712,3.976
2008-05-14,-6.704,3.988
2008-05-15,-6.696,3.999
2008-05-16,-6.688,4.01
2008-05-19,-6.664,4.044
2008-05-20,-6.656,4.055
2008-05-21,-6.648,4.066
2008-05-22,-6.64,4.077
2008-05-23,-6.633,4.089
2008-05-26,-6.609,4.122
2008-05-27,-6.601,4.134
2008-05-28,-6.593,4.145
2008-05-29,-6.585,4.156
2008-05-30,-6.577,4.167
2008-06-02,-6.553,4.201
2008-06-03,-6.545,4.212
2008-06-04,-6.537,4.223
2008-06-05,-6.53,4.235
2008-06-06,-6.522,4.246
2008-06-10,-6.49,4.291
2008-06-11,-6.482,4.302
2008-06-12,-6.474,4.313
2008-06-13,-6.466,4.324
2008-06-16,-6.442,4.358
2008-06-17,-6.434,4.369
2008-06-18,-6.427,4.381
2008-06-19,-6.419,4.392
2008-06-20,-6.411,4.403
2008-06-23,-6.387,4.437
2008-06-24,-6.379,4.448
2008-06-25,-6.371,4.459
2008-06-26,-6.363,4.47
2008-06-27,-6.355,4.482
2008-06-30,-6.332,4.515
2008-07-01,-6.324,4.527
2008-07-02,-6.316,4.538
2008-07-03,-6.308,4.549
2008-07-04,-6.3,4.56
2008-07-07,-6.276,4.594
2008-07-08,-6.268,4.605
2008-07-09,-6.26,4.616
2008-07-10,-6.252,4.628
2008-07-11,-6.244,4.639
2008-07-14,-6.221,4.672
2008-07-15,-6.213,4.684
2008-07-16,-6.205,4.695
2008-07-17,-6.197,4.706
2008-07-18,-6.189,4.717
2008-07-21,-6.165,4.751
2008-07-22,-6.157,4.762
2008-07-23,-6.149,4.774
2008-07-24,-6.141,4.785
2008-07-25,-6.133,4.796
2008-07-28,-6.11,4.83
2008-07-29,-6.102,4.841
2008-07-30,-6.094,4.852
2008-07-31,-6.086,4.863
2008-08-01,-6.078,4.875
2008-08-04,-6.054,4.908
2008-08-05,-6.046,4.92
2008-08-06,-6.038,4.931
2008-08-07,-6.031,4.942
2008-08-08,-6.023,4.953
2008-08-11,-5.999,4.987
2008-08-12,-5.991,4.998
2008-08-13,-5.983,5.009
2008-08-14,-5.975,5.021
2008-08-15,-5.967,5.032
2008-08-19,-5.935,5.077
2008-08-20,-5.928,5.088
2008-08-21,-5.92,5.099
2008-08-22,-5.912,5.11
2008-08-25,-5.888,5.144
2008-08-26,-5.88,5.155
2008-08-27,-5.872,5.167
2008-08-28,-5.864,5.178
2008-08-29,-5.856,5.189
2008-09-01,-5.832,5.223
2008-09-02,-5.825,5.234
2008-09-03,-5.817,5.245
2008-09-04,-5.809,5.256
2008-09-05,-5.801,5.268
2008-09-08,-5.777,5.301
2008-09-09,-5.769,5.312
2008-09-10,-5.761,5.324
2008-09-11,-5.753,5.335
2008-09-12,-5.745,5.346
2008-09-16,-5.714,5.391
2008-09-17,-5.706,5.402
2008-09-18,-5.698,5.414
2008-09-19,-5.69,5.425
2008-09-22,-5.666,5.458
2008-09-23,-5.658,5.47
2008-09-24,-5.65,5.481
2008-09-25,-5.642,5.492
2008-09-26,-5.634,5.503
2008-10-06,-5.555,5.616
2008-10-07,-5.547,5.627
2008-10-08,-5.539,5.638
2008-10-09,-5.531,5.649
2008-10-10,-5.524,5.661
2008-10-13,-5.5,5.694
2008-10-14,-5.492,5.705
2008-10-15,-5.484,5.717
2008-10-16,-5.476,5.728
2008-10-17,-5.468,5.739
2008-10-20,-5.444,5.773
2008-10-21,-5.436,5.784
2008-10-22,-5.429,5.795
2008-10-23,-5.421,5.807
2008-10-24,-5.413,5.818
2008-10-27,-5.389,5.851
2008-10-28,-5.381,5.863
2008-10-29,-5.373,5.874
2008-10-30,-5.365,5.885
2008-10-31,-5.357,5.896
2008-11-03,-5.333,5.93
2008-11-04,-5.326,5.941
2008-11-05,-5.318,5.952
2008-11-06,-5.31,5.964
2008-11-07,-5.302,5.975
2008-11-10,-5.278,6.009
2008-11-11,-5.27,6.02
2008-11-12,-5.262,6.031
2008-11-13,-5.254,6.042
2008-11-14,-5.246,6.054
2008-11-17,-5.223,6.087
2008-11-18,-5.215,6.098
2008-11-19,-5.207,6.11
2008-11-20,-5.199,6.121
2008-11-21,-5.191,6.132
2008-11-24,-5.167,6.166
2008-11-25,-5.159,6.177
2008-11-26,-5.151,6.188
2008-11-27,-5.143,6.2
2008-11-28,-5.135,6.211
2008-12-01,-5.112,6.244
2008-12-02,-5.104,6.256
2008-12-03,-5.096,6.267
2008-12-04,-5.088,6.278
2008-12-05,-5.08,6.289
2008-12-08,-5.056,6.323
2008-12-09,-5.048,6.334
2008-12-10,-5.04,6.345
2008-12-11,-5.032,6.357
2008-12-12,-5.025,6.368
2008-12-15,-5.001,6.402
2008-12-16,-4.993,6.413
2008-12-17,-4.985,6.424
2008-12-18,-4.977,6.435
2008-12-19,-4.969,6.447
2008-12-22,-4.945,6.48
2008-12-23,-4.937,6.491
2008-12-24,-4.929,6.503
2008-12-25,-4.922,6.514
2008-12-26,-4.914,6.525
2008-12-29,-4.89,6.559
2008-12-30,-4.882,6.57
2008-12-31,-4.874,6.581
2009-01-05,-4.834,6.637
2009-01-06,-4.826,6.649
2009-01-07,-4.819,6.66
2009-01-08,-4.811,6.671
2009-01-09,-4.803,6.682
2009-01-12,-4.779,6.716
2009-01-13,-4.771,6.727
2009-01-14,-4.763,6.738
2009-01-15,-4.755,6.75
2009-01-16,-4.747,6.761
2009-01-19,-4.724,6.795
2009-01-20,-4.716,6.806
2009-01-21,-4.708,6.817
2009-01-22,-4.7,6.828
2009-01-23,-4.692,6.84
2009-02-02,-4.613,6.952
2009-02-03,-4.605,6.963
2009-02-04,-4.597,6.974
2009-02-05,-4.589,6.985
2009-02-06,-4.581,6.997
2009-02-09,-4.557,7.03
2009-02-10,-4.549,7.042
2009-02-11,-4.541,7.053
2009-02-12,-4.533,7.064
2009-02-13,-4.525,7.075
2009-02-16,-4.502,7.109
2009-02-17,-4.494,7.12
2009-02-18,-4.486,7.131
2009-02-19,-4.478,7.143
2009-02-20,-4.47,7.154
2009-02-23,-4.446,7.188
2009-02-24,-4.438,7.199
2009-02-25,-4.43,7.21
2009-02-26,-4.423,7.221
2009-02-27,-4.415,7.233
2009-03-02,-4.391,7.266
2009-03-03,-4.383,7.277
2009-03-04,-4.375,7.289
2009-03-05,-4.367,7.3
2009-03-06,-4.359,7.311
2009-03-09,-4.335,7.345
2009-03-10,-4.327,7.356
2009-03-11,-4.32,7.367
2009-03-12,-4.312,7.378
2009-03-13,-4.304,7.39
2009-03-16,-4.28,7.423
2009-03-17,-4.272,7.435
2009-03-18,-4.264,7.446
2009-03-19,-4.256,7.457
2009-03-20,-4.248,7.468
2009-03-23,-4.224,7.502
2009-03-24,-4.217,7.513
2009-03-25,-4.209,7.524
2009-03-26,-4.201,7.536
2009-03-27,-4.193,7.547
2009-03-30,-4.169,7.581
2009-03-31,-4.161,7.592
2009-04-01,-4.153,7.603
2009-04-02,-4.145,7.614
2009-04-03,-4.137,7.625
