日期,上轨,中轴10,下轨
2018-06-29,,,
2018-07-06,,,
2018-07-13,,,
2018-07-20,,,
2018-07-27,,,
2018-08-03,,,
2018-08-10,,,
2018-08-17,,,
2018-08-24,,,
2018-08-31,32.91,30.277,27.644
2018-09-07,32.649,30.157,27.665
2018-09-14,32.574,29.998,27.422
2018-09-21,31.891,29.744,27.597
2018-09-28,31.588,29.44,27.292
2018-10-12,32.84,28.551,24.262
2018-10-19,34.061,27.776,21.491
2018-10-26,34.094,26.989,19.884
2018-11-02,33.805,26.584,19.363
2018-11-09,33.371,26.042,18.713
2018-11-16,32.099,25.468,18.837
2018-11-23,30.644,24.861,19.078
2018-11-30,29.482,24.378,19.274
2018-12-07,27.552,23.816,20.08
2018-12-14,25.926,23.433,20.94
2018-12-21,25.923,23.447,20.971
2018-12-28,25.58,23.773,21.966
2019-01-04,26.226,24.266,22.306
2019-01-11,27.88,24.688,21.496
2019-01-18,28.597,25.127,21.657
2019-01-25,29.189,25.396,21.603
2019-02-01,29.775,25.766,21.757
2019-02-15,30.772,26.32,21.868
2019-02-22,31.639,26.941,22.243
2019-03-01,34.558,28.05,21.542
2019-03-08,37.071,29.51,21.949
2019-03-15,38.051,30.646,23.241
2019-03-22,39.058,31.574,24.09
2019-03-29,39.864,32.306,24.748
2019-04-04,40.51,33.223,25.936
2019-04-12,40.209,33.906,27.603
2019-04-19,39.481,34.556,29.631
2019-04-26,38.847,34.839,30.831
2019-04-30,38.316,35.001,31.686
2019-05-10,38.912,34.47,30.028
2019-05-17,38.608,33.668,28.728
2019-05-24,38.642,32.951,27.26
2019-05-31,38.081,32.218,26.355
2019-06-06,37.327,31.398,25.469
2019-06-14,35.507,30.531,25.555
2019-06-21,34.627,30.275,25.923
2019-06-28,33.855,30.099,26.343
2019-07-05,34.368,30.227,26.086
2019-07-12,34.558,30.295,26.032
2019-07-19,34.811,30.468,26.125
2019-07-26,35.445,30.867,26.289
2019-08-02,35.442,31.182,26.922
2019-08-09,35.376,31.235,27.094
2019-08-16,34.991,31.637,28.283
2019-08-23,34.404,31.986,29.568
2019-08-30,34.46,32.029,29.598
2019-09-06,34.938,32.181,29.424
2019-09-12,35.046,32.212,29.378
2019-09-20,35.212,32.298,29.384
2019-09-27,35.231,32.337,29.443
2019-09-30,35.007,32.141,29.275
2019-10-11,35.248,32.331,29.414
2019-10-18,35.039,32.847,30.655
2019-10-25,35.008,32.977,30.946
2019-11-01,34.946,33.127,31.308
2019-11-08,35.13,33.297,31.464
2019-11-15,34.893,33.11,31.327
2019-11-22,34.781,33.07,31.359
2019-11-29,34.716,32.991,31.266
2019-12-06,34.729,32.979,31.229
2019-12-13,34.544,33.073,31.602
2019-12-20,34.494,33.038,31.582
2019-12-27,34.345,33.001,31.657
2020-01-03,34.673,33.136,31.599
2020-01-10,35.652,33.41,31.168
2020-01-17,36.125,33.556,30.987
2020-01-23,36.332,33.796,31.26
2020-02-07,38.043,34.274,30.505
2020-02-14,38.972,34.814,30.656
2020-02-21,40.804,35.706,30.608
2020-02-28,41.031,36.295,31.559
2020-03-06,42.232,37.137,32.042
2020-03-13,42.16,37.538,32.916
2020-03-20,41.954,37.695,33.436
2020-03-27,41.977,37.668,33.359
2020-04-03,42.135,37.552,32.969
2020-04-10,42.065,37.609,33.153
2020-04-17,42.025,37.186,32.347
2020-04-24,42.037,36.724,31.411
2020-04-30,40.862,35.918,30.974
2020-05-08,40.314,35.486,30.658
2020-05-15,37.591,34.643,31.695
2020-05-22,36.465,34.052,31.639
2020-05-29,36.14,33.624,31.108
2020-06-05,35.526,33.363,31.2
2020-06-12,35.556,33.373,31.19
2020-06-19,35.359,33.328,31.297
2020-06-24,36.2,33.533,30.866
2020-07-03,37.679,33.982,30.285
2020-07-10,40.198,34.777,29.356
2020-07-17,40.611,35.084,29.557
2020-07-24,40.704,35.347,29.99
2020-07-31,40.664,35.779,30.894
2020-08-07,40.476,36.393,32.31
2020-08-14,40.4,36.91,33.42
2020-08-21,40.522,37.315,34.108
