日期,10均线,5均线,20均线,50均线,150均线
2018-06-29,,,,,
2018-07-06,,,,,
2018-07-13,,,,,
2018-07-20,,,,,
2018-07-27,,31.372,,,
2018-08-03,,30.784,,,
2018-08-10,,30.59,,,
2018-08-17,,29.822,,,
2018-08-24,,29.332,,,
2018-08-31,30.277,29.182,,,
2018-09-07,30.157,29.53,,,
2018-09-14,29.998,29.406,,,
2018-09-21,29.744,29.666,,,
2018-09-28,29.44,29.548,,,
2018-10-12,28.551,27.92,,,
2018-10-19,27.776,26.022,,,
2018-10-26,26.989,24.572,,,
2018-11-02,26.584,23.502,,,
2018-11-09,26.042,22.536,,,
2018-11-16,25.468,23.016,27.873,,
2018-11-23,24.861,23.7,27.509,,
2018-11-30,24.378,24.184,27.188,,
2018-12-07,23.816,24.13,26.78,,
2018-12-14,23.433,24.33,26.437,,
2018-12-21,23.447,23.878,25.999,,
2018-12-28,23.773,23.846,25.774,,
2019-01-04,24.266,24.348,25.627,,
2019-01-11,24.688,25.246,25.636,,
2019-01-18,25.127,25.924,25.584,,
2019-01-25,25.396,26.914,25.432,,
2019-02-01,25.766,27.686,25.313,,
2019-02-15,26.32,28.292,25.349,,
2019-02-22,26.941,28.636,25.378,,
2019-03-01,28.05,30.176,25.742,,
2019-03-08,29.51,32.106,26.478,,
2019-03-15,30.646,33.606,27.21,,
2019-03-22,31.574,34.856,27.92,,
2019-03-29,32.306,35.976,28.497,,
2019-04-04,33.223,36.27,29.175,,
2019-04-12,33.906,35.706,29.651,,
2019-04-19,34.556,35.506,30.161,,
2019-04-26,34.839,34.822,30.58,,
2019-04-30,35.001,34.026,30.971,,
2019-05-10,34.47,32.67,31.26,,
2019-05-17,33.668,31.63,31.589,,
2019-05-24,32.951,30.396,31.798,,
2019-05-31,32.218,29.614,31.896,,
2019-06-06,31.398,28.77,31.852,,
2019-06-14,30.531,28.392,31.877,,
2019-06-21,30.275,28.92,32.091,29.064,
2019-06-28,30.099,29.802,32.328,29.088,
2019-07-05,30.227,30.84,32.533,29.152,
2019-07-12,30.295,31.82,32.648,29.159,
2019-07-19,30.468,32.544,32.469,29.172,
2019-07-26,30.867,32.814,32.268,29.209,
2019-08-02,31.182,32.562,32.066,29.266,
2019-08-09,31.235,31.63,31.726,29.256,
2019-08-16,31.637,31.454,31.518,29.323,
2019-08-23,31.986,31.428,31.259,29.382,
2019-08-30,32.029,31.244,31.152,29.415,
2019-09-06,32.181,31.8,31.14,29.493,
2019-09-12,32.212,32.794,31.22,29.595,
2019-09-20,32.298,33.142,31.296,29.67,
2019-09-27,32.337,33.246,31.403,29.752,
2019-09-30,32.141,33.038,31.504,29.927,
2019-10-11,32.331,32.862,31.757,30.177,
2019-10-18,32.847,32.9,32.041,30.428,
2019-10-25,32.977,32.812,32.307,30.601,
2019-11-01,33.127,33.008,32.556,30.799,
2019-11-08,33.297,33.556,32.663,30.981,
2019-11-15,33.11,33.358,32.646,31.142,
2019-11-22,33.07,33.24,32.641,31.334,
2019-11-29,32.991,33.17,32.644,31.505,
2019-12-06,32.979,32.95,32.658,31.661,
2019-12-13,33.073,32.59,32.607,31.852,
2019-12-20,33.038,32.718,32.684,32.03,
2019-12-27,33.001,32.762,32.924,32.175,
2020-01-03,33.136,33.102,33.056,32.291,
2020-01-10,33.41,33.87,33.268,32.455,
2020-01-17,33.556,34.522,33.426,32.613,
2020-01-23,33.796,34.874,33.453,32.748,
2020-02-07,34.274,35.786,33.672,32.924,
2020-02-14,34.814,36.526,33.902,33.08,
2020-02-21,35.706,37.542,34.342,33.192,
2020-02-28,36.295,38.068,34.684,33.209,
2020-03-06,37.137,39.4,35.088,33.328,
2020-03-13,37.538,39.29,35.27,33.368,
2020-03-20,37.695,38.864,35.415,33.369,
2020-03-27,37.668,37.794,35.539,33.344,
2020-04-03,37.552,37.036,35.554,33.342,
2020-04-10,37.609,35.818,35.702,33.359,
2020-04-17,37.186,35.082,35.73,33.394,
2020-04-24,36.724,34.584,35.769,33.424,
