日期,difference,avg_gain_7,avg_loss_7,avg_gain_14,avg_loss_14,RSI_7,RSI_14,SMA_7
2008-05-16,0.0,0.0743,0.1129,0.0743,0.1193,39.66,38.323,0.0
2008-05-23,0.35,0.1137,0.0967,0.094,0.1108,54.01,45.843,0.0
2008-05-30,-0.06,0.0974,0.0915,0.0873,0.1071,51.532,44.852,0.0
2008-06-06,0.17,0.1078,0.0784,0.0932,0.0995,57.865,48.31,0.0
2008-06-13,-0.45,0.0924,0.1315,0.0865,0.1245,41.238,40.94,0.0
2008-06-20,-0.21,0.0792,0.1427,0.0803,0.1306,35.662,38.02,0.0
2008-06-27,-0.07,0.0679,0.1323,0.0746,0.1263,33.886,37.078,44.836
2008-07-04,0.09,0.071,0.1134,0.0757,0.1173,38.473,39.168,44.667
2008-07-11,0.32,0.1066,0.0972,0.0932,0.1089,52.276,46.061,44.419
2008-07-18,-0.21,0.0914,0.1133,0.0865,0.1161,44.621,42.64,43.432
2008-07-25,0.11,0.094,0.0971,0.0882,0.1078,49.159,44.945,42.188
2008-08-01,-0.18,0.0806,0.109,0.0819,0.113,42.481,41.967,42.365
2008-08-08,-0.09,0.0691,0.1063,0.076,0.1113,39.366,40.522,42.895
2008-08-15,-0.4,0.0592,0.1482,0.0706,0.132,28.514,34.792,42.127
2008-08-22,-0.06,0.0508,0.1356,0.0656,0.1268,27.223,34.041,40.52
2008-08-29,-0.19,0.0435,0.1434,0.0609,0.1313,23.244,31.631,36.373
2008-09-05,-0.12,0.0373,0.1401,0.0565,0.1305,20.996,30.159,32.998
2008-09-12,-0.14,0.032,0.14,0.0525,0.1312,18.575,28.524,28.628
2008-09-19,0.11,0.0431,0.12,0.0566,0.1218,26.396,31.671,26.331
2008-09-26,-0.28,0.037,0.1429,0.0526,0.1331,20.537,28.27,23.641
2008-10-10,-0.16,0.0317,0.1453,0.0488,0.135,17.88,26.496,22.122
2008-10-17,0.1,0.0414,0.1246,0.0525,0.1254,24.91,29.456,21.791
2008-10-24,0.11,0.0512,0.1068,0.0566,0.1164,32.375,32.662,23.096
2008-10-31,0.11,0.0596,0.0915,0.0604,0.1081,39.414,35.791,25.727
2008-11-07,0.02,0.054,0.0784,0.0575,0.1004,40.755,36.36,28.895
2008-11-14,0.1,0.0605,0.0672,0.0605,0.0932,47.347,39.307,31.888
2008-11-21,0.06,0.0605,0.0576,0.0605,0.0866,51.198,41.073,36.268
2008-11-28,-0.17,0.0518,0.0737,0.0562,0.0925,41.245,37.739,39.606
2008-12-05,0.21,0.0744,0.0632,0.0672,0.0859,54.04,43.838,43.768
2008-12-12,-0.04,0.0638,0.0599,0.0624,0.0826,51.546,42.979,46.506
2008-12-19,0.38,0.109,0.0513,0.0851,0.0767,67.968,52.541,50.586
2008-12-26,-0.14,0.0934,0.064,0.079,0.0813,59.309,49.228,53.236
2008-12-31,0.0,0.0801,0.0548,0.0733,0.0755,59.347,49.206,54.95
2009-01-09,0.24,0.1029,0.047,0.0852,0.0701,68.616,54.807,57.439
2009-01-16,-0.01,0.0882,0.0417,0.0792,0.0658,67.868,54.566,61.242
2009-01-23,-0.07,0.0756,0.0458,0.0735,0.0661,62.243,52.595,62.414
