日期,支撑线,阻力线
2008-05-16,-9.425,-4.599
2008-05-23,-9.361,-4.513
2008-05-30,-9.298,-4.427
2008-06-06,-9.234,-4.341
2008-06-13,-9.171,-4.256
2008-06-20,-9.107,-4.17
2008-06-27,-9.044,-4.084
2008-07-04,-8.981,-3.998
2008-07-11,-8.917,-3.913
2008-07-18,-8.854,-3.827
2008-07-25,-8.79,-3.741
2008-08-01,-8.727,-3.655
2008-08-08,-8.663,-3.57
2008-08-15,-8.6,-3.484
2008-08-22,-8.537,-3.398
2008-08-29,-8.473,-3.312
2008-09-05,-8.41,-3.226
2008-09-12,-8.346,-3.141
2008-09-19,-8.283,-3.055
2008-09-26,-8.219,-2.969
2008-10-10,-8.093,-2.798
2008-10-17,-8.029,-2.712
2008-10-24,-7.966,-2.626
2008-10-31,-7.902,-2.54
2008-11-07,-7.839,-2.455
2008-11-14,-7.775,-2.369
2008-11-21,-7.712,-2.283
2008-11-28,-7.649,-2.197
2008-12-05,-7.585,-2.111
2008-12-12,-7.522,-2.026
2008-12-19,-7.458,-1.94
2008-12-26,-7.395,-1.854
2008-12-31,-7.35,-1.793
2009-01-09,-7.268,-1.683
2009-01-16,-7.205,-1.597
2009-01-23,-7.141,-1.511
2009-02-06,-7.014,-1.34
2009-02-13,-6.951,-1.254
2009-02-20,-6.887,-1.168
2009-02-27,-6.824,-1.082
2009-03-06,-6.761,-0.996
2009-03-13,-6.697,-0.911
2009-03-20,-6.634,-0.825
2009-03-27,-6.57,-0.739
2009-04-03,-6.507,-0.653
2009-04-10,-6.443,-0.568
2009-04-17,-6.38,-0.482
2009-04-24,-6.317,-0.396
2009-04-30,-6.262,-0.323
2009-05-08,-6.19,-0.225
2009-05-15,-6.126,-0.139
2009-05-22,-6.063,-0.053
2009-05-27,-6.017,0.008
2009-06-05,-5.936,0.119
2009-06-12,-5.873,0.204
2009-06-19,-5.809,0.29
2009-06-26,-5.746,0.376
2009-07-03,-5.682,0.462
2009-07-10,-5.619,0.547
2009-07-17,-5.555,0.633
2009-07-24,-5.492,0.719
2009-07-31,-5.428,0.805
2009-08-07,-5.365,0.89
2009-08-14,-5.302,0.976
2009-08-21,-5.238,1.062
2009-08-28,-5.175,1.148
2009-09-04,-5.111,1.234
2009-09-11,-5.048,1.319
2009-09-18,-4.984,1.405
2009-09-25,-4.921,1.491
2009-09-30,-4.876,1.552
2009-10-09,-4.794,1.662
2009-10-16,-4.731,1.748
2009-10-23,-4.667,1.834
2009-10-30,-4.604,1.92
2009-11-06,-4.54,2.005
2009-11-13,-4.477,2.091
2009-11-20,-4.414,2.177
2009-11-27,-4.35,2.263
2009-12-04,-4.287,2.349
2009-12-11,-4.223,2.434
2009-12-18,-4.16,2.52
2009-12-25,-4.096,2.606
2009-12-31,-4.042,2.679
2010-01-08,-3.97,2.777
2010-01-15,-3.906,2.863
2010-01-22,-3.843,2.949
2010-01-29,-3.779,3.035
2010-02-05,-3.716,3.12
2010-02-12,-3.652,3.206
2010-02-26,-3.526,3.378
2010-03-05,-3.462,3.463
2010-03-12,-3.399,3.549
2010-03-19,-3.335,3.635
2010-03-26,-3.272,3.721
2010-04-02,-3.208,3.807
2010-04-09,-3.145,3.892
2010-04-16,-3.082,3.978
2010-04-23,-3.018,4.064
2010-04-30,-2.955,4.15
2010-05-07,-2.891,4.235
2010-05-14,-2.828,4.321
2010-05-21,-2.764,4.407
2010-05-28,-2.701,4.493
2010-06-04,-2.638,4.578
2010-06-11,-2.574,4.664
2010-06-18,-2.511,4.75
2010-06-25,-2.447,4.836
2010-07-02,-2.384,4.922
2010-07-09,-2.32,5.007
2010-07-16,-2.257,5.093
2010-07-23,-2.194,5.179
2010-07-30,-2.13,5.265
2010-08-06,-2.067,5.35
2010-08-13,-2.003,5.436
2010-08-20,-1.94,5.522
2010-08-27,-1.876,5.608
2010-09-03,-1.813,5.693
2010-09-10,-1.75,5.779
2010-09-17,-1.686,5.865
2010-09-21,-1.65,5.914
2010-09-30,-1.568,6.024
2010-10-08,-1.496,6.122
2010-10-15,-1.432,6.208
2010-10-22,-1.369,6.294
2010-10-29,-1.306,6.38
2010-11-05,-1.242,6.465
2010-11-12,-1.179,6.551
2010-11-19,-1.115,6.637
2010-11-26,-1.052,6.723
2010-12-03,-0.988,6.808
2010-12-10,-0.925,6.894
2010-12-17,-0.862,6.98
2010-12-24,-0.798,7.066
2010-12-31,-0.735,7.152
2011-01-07,-0.671,7.237
2011-01-14,-0.608,7.323
2011-01-21,-0.544,7.409
2011-01-28,-0.481,7.495
2011-02-01,-0.445,7.544
2011-02-11,-0.354,7.666
2011-02-17,-0.3,7.74
2011-02-25,-0.227,7.838
2011-03-04,-0.164,7.923
2011-03-11,-0.1,8.009
2011-03-18,-0.037,8.095
2011-03-25,0.027,8.181
2011-04-01,0.09,8.267
2011-04-08,0.153,8.352
2011-04-15,0.217,8.438
2011-04-22,0.28,8.524
2011-04-29,0.344,8.61
2011-05-06,0.407,8.695
2011-05-13,0.471,8.781
2011-05-20,0.534,8.867
2011-05-27,0.597,8.953
2011-06-03,0.661,9.038
2011-06-10,0.724,9.124
2011-06-17,0.788,9.21
2011-06-24,0.851,9.296
2011-07-01,0.915,9.382
2011-07-08,0.978,9.467
2011-07-15,1.041,9.553
2011-07-22,1.105,9.639
2011-07-29,1.168,9.725
2011-08-05,1.232,9.81
2011-08-12,1.295,9.896
2011-08-19,1.359,9.982
2011-08-26,1.422,10.068
2011-09-02,1.485,10.153
2011-09-09,1.549,10.239
2011-09-16,1.612,10.325
2011-09-23,1.676,10.411
2011-09-30,1.739,10.497
2011-10-14,1.866,10.668
2011-10-21,1.929,10.754
2011-10-28,1.993,10.84
2011-11-04,2.056,10.925
2011-11-11,2.12,11.011
2011-11-18,2.183,11.097
2011-11-25,2.247,11.183
2011-12-02,2.31,11.268
2011-12-09,2.373,11.354
2011-12-16,2.437,11.44
2011-12-23,2.5,11.526
2011-12-30,2.564,11.612
2012-01-06,2.627,11.697
2012-01-13,2.691,11.783
2012-01-20,2.754,11.869
2012-02-03,2.881,12.04
2012-02-10,2.944,12.126
2012-02-17,3.008,12.212
2012-02-24,3.071,12.298
2012-03-02,3.135,12.383
2012-03-09,3.198,12.469
2012-03-16,3.261,12.555
2012-03-23,3.325,12.641
2012-03-30,3.388,12.727
2012-04-06,3.452,12.812
2012-04-13,3.515,12.898
2012-04-20,3.579,12.984
2012-04-26,3.633,13.057
2012-05-04,3.705,13.155
2012-05-11,3.769,13.241
2012-05-18,3.832,13.327
2012-05-25,3.896,13.413
2012-06-01,3.959,13.498
2012-06-08,4.023,13.584
2012-06-15,4.086,13.67
2012-06-21,4.14,13.743
2012-06-29,4.213,13.842
2012-07-06,4.276,13.927
2012-07-13,4.34,14.013
2012-07-20,4.403,14.099
2012-07-27,4.467,14.185
2012-08-03,4.53,14.27
2012-08-09,4.584,14.344
2012-08-24,4.72,14.528
2012-08-31,4.784,14.613
2012-09-07,4.847,14.699
2012-09-14,4.911,14.785
2012-09-21,4.974,14.871
2012-09-28,5.038,14.957
2012-10-12,5.164,15.128
2012-10-19,5.228,15.214
2012-10-26,5.291,15.3
2012-11-02,5.355,15.385
2012-11-09,5.418,15.471
2012-11-16,5.482,15.557
2012-11-23,5.545,15.643
2012-11-30,5.608,15.728
2012-12-07,5.672,15.814
2012-12-14,5.735,15.9
2012-12-21,5.799,15.986
2012-12-28,5.862,16.072
2013-01-04,5.926,16.157
2013-01-11,5.989,16.243
2013-01-18,6.052,16.329
2013-01-25,6.116,16.415
2013-02-01,6.179,16.5
2013-02-08,6.243,16.586
2013-02-22,6.37,16.758
2013-03-01,6.433,16.843
2013-03-08,6.496,16.929
2013-03-15,6.56,17.015
2013-03-22,6.623,17.101
2013-03-29,6.687,17.187
2013-04-03,6.732,17.248
2013-04-12,6.814,17.358
2013-04-19,6.877,17.444
2013-04-26,6.94,17.53
2013-05-03,7.004,17.615
2013-05-10,7.067,17.701
2013-05-17,7.131,17.787
2013-05-24,7.194,17.873
2013-05-31,7.258,17.958
2013-06-07,7.321,18.044
2013-06-14,7.384,18.13
2013-06-21,7.448,18.216
2013-06-28,7.511,18.301
2013-07-05,7.575,18.387
2013-07-12,7.638,18.473
2013-07-19,7.702,18.559
2013-07-26,7.765,18.645
2013-08-02,7.828,18.73
2013-08-09,7.892,18.816
2013-08-16,7.955,18.902
2013-08-23,8.019,18.988
2013-08-30,8.082,19.073
2013-09-06,8.146,19.159
2013-09-13,8.209,19.245
2013-09-18,8.254,19.306
2013-09-27,8.336,19.416
2013-09-30,8.363,19.453
2013-10-11,8.463,19.588
2013-10-18,8.526,19.674
2013-10-25,8.59,19.76
2013-11-01,8.653,19.845
2013-11-08,8.716,19.931
2013-11-15,8.78,20.017
2013-11-22,8.843,20.103
2013-11-29,8.907,20.188
2013-12-06,8.97,20.274
2013-12-13,9.034,20.36
2013-12-20,9.097,20.446
2013-12-27,9.161,20.531
2014-01-03,9.224,20.617
2014-01-10,9.287,20.703
2014-01-17,9.351,20.789
2014-01-24,9.414,20.875
2014-01-30,9.469,20.948
2014-02-07,9.541,21.046
2014-02-14,9.605,21.132
2014-02-21,9.668,21.218
2014-02-28,9.731,21.303
2014-03-07,9.795,21.389
2014-03-14,9.858,21.475
2014-03-21,9.922,21.561
2014-03-28,9.985,21.646
2014-04-04,10.049,21.732
2014-04-11,10.112,21.818
2014-04-18,10.175,21.904
2014-04-25,10.239,21.99
2014-04-30,10.284,22.051
2014-05-09,10.366,22.161
2014-05-16,10.429,22.247
2014-05-23,10.493,22.333
2014-05-30,10.556,22.418
2014-06-06,10.619,22.504
2014-06-13,10.683,22.59
2014-06-20,10.746,22.676
2014-06-27,10.81,22.761
2014-07-04,10.873,22.847
2014-07-11,10.937,22.933
2014-07-18,11.0,23.019
2014-07-25,11.063,23.105
2014-08-01,11.127,23.19
2014-08-08,11.19,23.276
2014-08-15,11.254,23.362
2014-08-22,11.317,23.448
2014-08-29,11.381,23.533
2014-09-05,11.444,23.619
2014-09-12,11.507,23.705
2014-09-19,11.571,23.791
2014-09-26,11.634,23.876
2014-09-30,11.671,23.925
2014-10-10,11.761,24.048
2014-10-17,11.825,24.134
2014-10-24,11.888,24.22
2014-10-31,11.951,24.305
2014-11-06,12.006,24.379
2014-11-14,12.078,24.477
2014-11-21,12.142,24.563
2014-11-28,12.205,24.648
2014-12-05,12.269,24.734
