日期,RSI_14,SMA_7
2008-05-12,67.973,0.0
2008-05-13,73.313,0.0
2008-05-14,74.322,0.0
2008-05-15,74.27,0.0
2008-05-16,69.457,0.0
2008-05-19,75.149,0.0
2008-05-20,75.527,87.909
2008-05-21,75.866,87.873
2008-05-22,70.424,85.479
2008-05-23,73.605,83.765
2008-05-26,67.983,80.359
2008-05-27,61.435,76.889
2008-05-28,62.581,72.846
2008-05-29,65.217,69.577
2008-05-30,66.365,66.606
2008-06-02,64.685,64.944
2008-06-03,69.902,64.068
2008-06-04,67.614,64.174
2008-06-05,68.149,66.239
2008-06-06,69.018,68.183
2008-06-10,60.308,66.578
2008-06-11,56.243,63.554
2008-06-12,55.22,60.793
2008-06-13,46.198,54.519
2008-06-16,43.548,48.464
2008-06-17,38.742,41.449
2008-06-18,44.444,36.138
2008-06-19,38.687,32.383
2008-06-20,41.372,30.572
2008-06-23,40.13,28.739
2008-06-24,45.541,30.6
2008-06-25,46.875,33.35
2008-06-26,45.296,36.437
2008-06-27,40.267,36.2
2008-06-30,42.71,37.931
2008-07-01,42.331,38.682
2008-07-02,44.893,40.622
2008-07-03,48.928,42.103
2008-07-04,45.34,41.988
2008-07-07,47.865,43.141
2008-07-08,50.854,46.534
2008-07-09,49.861,48.744
2008-07-10,57.143,53.047
2008-07-11,59.897,57.051
2008-07-14,60.734,59.959
2008-07-15,55.481,62.135
2008-07-16,48.92,61.474
2008-07-17,46.253,59.185
2008-07-18,48.806,58.107
2008-07-21,52.639,56.228
2008-07-22,51.034,53.24
2008-07-23,50.588,49.907
2008-07-24,51.097,48.698
2008-07-25,54.403,50.629
2008-07-28,56.543,53.945
2008-07-29,55.842,56.139
2008-07-30,47.114,54.135
2008-07-31,41.605,51.246
2008-08-01,44.19,49.428
2008-08-04,41.68,46.78
2008-08-05,41.225,42.898
2008-08-06,40.669,38.224
2008-08-07,40.187,33.678
2008-08-08,39.563,31.983
2008-08-11,34.774,30.497
2008-08-12,26.421,26.765
2008-08-13,24.427,23.44
2008-08-14,26.045,20.826
2008-08-15,24.917,18.175
2008-08-19,23.973,15.532
2008-08-20,30.354,15.253
2008-08-21,26.849,15.286
2008-08-22,26.863,16.663
2008-08-25,26.182,18.073
2008-08-26,21.683,17.972
2008-08-27,21.343,18.004
2008-08-28,20.0,17.93
2008-08-29,24.156,17.032
2008-09-01,22.868,16.662
2008-09-02,21.951,16.069
2008-09-03,23.108,16.047
2008-09-04,28.486,18.833
2008-09-05,24.404,20.278
2008-09-08,21.986,21.327
2008-09-09,21.989,20.997
2008-09-10,21.704,20.914
2008-09-11,20.37,20.711
2008-09-12,20.044,20.066
2008-09-16,19.016,17.289
2008-09-17,18.72,15.82
2008-09-18,20.25,15.59
2008-09-19,37.155,20.574
2008-09-22,34.322,24.465
2008-09-23,27.656,26.436
2008-09-24,23.891,27.518
2008-09-25,29.472,30.265
2008-09-26,28.395,32.772
2008-10-06,26.186,34.074
2008-10-07,25.794,30.079
2008-10-08,25.545,27.144
2008-10-09,25.427,26.468
2008-10-10,22.561,25.896
2008-10-13,22.198,23.822
2008-10-14,24.719,22.94
2008-10-15,28.341,23.912
2008-10-16,27.512,24.589
2008-10-17,36.771,28.166
2008-10-20,45.188,33.672
2008-10-21,43.226,39.193
2008-10-22,39.241,43.326
2008-10-23,48.462,48.694
2008-10-24,48.447,52.817
2008-10-27,45.588,56.255
2008-10-28,52.465,58.492
2008-10-29,54.472,59.235
2008-10-30,57.809,61.472
2008-10-31,56.051,64.532
2008-11-03,51.899,63.971
2008-11-04,48.718,62.382
2008-11-05,54.675,63.465
2008-11-06,54.705,62.972
2008-11-07,56.854,62.603
2008-11-10,61.422,62.65
2008-11-11,56.745,61.728
2008-11-12,56.813,62.315
2008-11-13,61.504,65.187
2008-11-14,62.295,66.592
2008-11-17,67.462,69.13
2008-11-18,58.74,68.327
2008-11-19,66.9,68.379
2008-11-20,61.955,68.7
2008-11-21,58.824,68.198
2008-11-24,52.308,64.835
2008-11-25,49.65,60.724
2008-11-26,48.44,55.18
2008-11-27,51.215,53.305
2008-11-28,47.037,48.463
2008-12-01,53.097,46.809
2008-12-02,56.15,46.81
2008-12-03,58.887,49.163
2008-12-04,57.25,51.62
2008-12-05,59.693,55.022
2008-12-08,61.988,58.142
2008-12-09,60.081,61.668
2008-12-10,65.918,64.837
2008-12-11,59.132,65.066
2008-12-12,52.595,62.797
2008-12-15,56.131,62.052
2008-12-16,61.688,62.15
2008-12-17,59.428,61.009
2008-12-18,66.716,62.235
2008-12-19,69.185,62.475
2008-12-22,70.534,65.094
2008-12-23,57.661,66.056
2008-12-24,54.883,65.334
2008-12-25,56.676,63.659
2008-12-26,57.635,62.892
2008-12-29,54.504,59.54
2008-12-30,58.408,56.893
2008-12-31,56.406,53.424
2009-01-05,58.427,53.993
2009-01-06,62.205,56.311
2009-01-07,63.079,58.352
2009-01-08,64.856,60.602
2009-01-09,67.458,64.345
2009-01-12,67.395,66.88
2009-01-13,59.138,67.16
2009-01-14,63.516,68.161
2009-01-15,63.458,68.081
2009-01-16,63.462,67.733
2009-01-19,61.647,66.252
2009-01-20,59.874,63.453
2009-01-21,57.895,60.002
2009-01-22,59.361,59.993
2009-01-23,56.308,57.561
2009-02-02,59.908,56.632
2009-02-03,62.645,56.668
2009-02-04,63.235,57.559
2009-02-05,55.841,56.587
2009-02-06,59.447,57.585
2009-02-09,65.612,59.725
2009-02-10,61.62,61.707
2009-02-11,59.688,61.59
2009-02-12,53.319,58.745
2009-02-13,57.442,57.068
2009-02-16,60.085,58.701
2009-02-17,55.485,57.708
2009-02-18,49.796,53.508
2009-02-19,52.101,51.292
2009-02-20,57.515,51.327
2009-02-23,63.653,54.677
2009-02-24,52.537,53.783
2009-02-25,52.557,52.105
2009-02-26,51.201,51.393
2009-02-27,43.193,50.294
2009-03-02,45.296,49.088
2009-03-03,45.301,46.223
2009-03-04,51.521,43.767
2009-03-05,54.113,44.885
2009-03-06,53.295,45.77
2009-03-09,57.845,48.243
2009-03-10,63.167,53.795
2009-03-11,61.453,58.134
2009-03-12,61.446,62.467
2009-03-13,64.752,65.664
2009-03-16,60.198,66.578
2009-03-17,61.284,68.082
2009-03-18,62.5,68.691
2009-03-19,63.158,68.233
2009-03-20,57.016,66.206
2009-03-23,57.074,64.185
2009-03-24,58.603,61.924
2009-03-25,51.659,59.007
2009-03-26,50.75,55.476
2009-03-27,48.831,51.088
2009-03-30,54.364,48.665
2009-03-31,65.587,51.379
2009-04-01,64.592,53.789
2009-04-02,66.811,56.125
2009-04-03,72.745,61.829
2009-04-07,73.116,67.86
2009-04-08,65.81,72.232
2009-04-09,71.171,75.682
2009-04-10,67.463,75.096
2009-04-13,70.693,75.61
2009-04-14,74.242,76.376
2009-04-15,70.517,74.992
2009-04-16,64.626,71.949
2009-04-17,62.148,70.439
2009-04-20,63.1,68.026
2009-04-21,64.695,67.134
2009-04-22,55.654,63.05
2009-04-23,56.203,58.43
2009-04-24,58.058,55.475
2009-04-27,46.333,51.393
2009-04-28,46.32,47.941
2009-04-29,51.652,45.971
2009-04-30,56.856,45.068
2009-05-04,60.496,47.504
2009-05-06,60.498,49.722
2009-05-07,57.273,50.332
2009-05-08,50.868,51.901
2009-05-11,50.185,53.294
2009-05-12,52.29,53.609
2009-05-13,50.0,51.731
2009-05-14,52.894,49.92
2009-05-15,58.046,49.723
2009-05-18,58.656,50.657
2009-05-19,66.489,55.264
2009-05-20,60.0,58.04
2009-05-21,54.195,58.528
2009-05-22,52.174,59.12
2009-05-25,47.774,57.592
2009-05-26,49.101,54.894
2009-05-27,49.809,52.258
2009-06-01,48.303,47.315
2009-06-02,46.973,43.97
2009-06-03,46.966,42.187
