日期,支撑线,阻力线
2008-05-12,0.9288,16.0497
2008-05-13,0.9338,16.0575
2008-05-14,0.9388,16.0653
2008-05-15,0.9438,16.073
2008-05-16,0.9487,16.0808
2008-05-19,0.9635,16.104
2008-05-20,0.9684,16.1116
2008-05-21,0.9733,16.1193
2008-05-22,0.9782,16.127
2008-05-23,0.9831,16.1346
2008-05-26,0.9976,16.1575
2008-05-27,1.0024,16.1651
2008-05-28,1.0072,16.1727
2008-05-29,1.0119,16.1803
2008-05-30,1.0167,16.1878
2008-06-02,1.0309,16.2104
2008-06-03,1.0356,16.2179
2008-06-04,1.0403,16.2254
2008-06-05,1.045,16.2329
2008-06-06,1.0497,16.2404
2008-06-10,1.0683,16.2701
2008-06-11,1.0729,16.2775
2008-06-12,1.0775,16.2849
2008-06-13,1.0821,16.2923
2008-06-16,1.0957,16.3143
2008-06-17,1.1003,16.3216
2008-06-18,1.1048,16.3289
2008-06-19,1.1093,16.3362
2008-06-20,1.1138,16.3435
2008-06-23,1.1272,16.3653
2008-06-24,1.1316,16.3725
2008-06-25,1.136,16.3797
2008-06-26,1.1405,16.3869
2008-06-27,1.1449,16.3941
2008-06-30,1.158,16.4156
2008-07-01,1.1623,16.4228
2008-07-02,1.1667,16.4299
2008-07-03,1.171,16.437
2008-07-04,1.1753,16.4441
2008-07-07,1.1882,16.4654
2008-07-08,1.1924,16.4724
2008-07-09,1.1967,16.4795
2008-07-10,1.2009,16.4865
2008-07-11,1.2052,16.4935
2008-07-14,1.2178,16.5145
2008-07-15,1.222,16.5215
2008-07-16,1.2261,16.5284
2008-07-17,1.2303,16.5354
2008-07-18,1.2344,16.5423
2008-07-21,1.2468,16.563
2008-07-22,1.2509,16.5699
2008-07-23,1.2549,16.5768
2008-07-24,1.259,16.5836
2008-07-25,1.2631,16.5905
2008-07-28,1.2752,16.611
2008-07-29,1.2792,16.6178
2008-07-30,1.2832,16.6246
2008-07-31,1.2872,16.6313
2008-08-01,1.2911,16.6381
2008-08-04,1.303,16.6583
2008-08-05,1.3069,16.665
2008-08-06,1.3108,16.6718
2008-08-07,1.3147,16.6785
2008-08-08,1.3186,16.6851
2008-08-11,1.3302,16.7051
2008-08-12,1.3341,16.7118
2008-08-13,1.3379,16.7184
2008-08-14,1.3417,16.725
2008-08-15,1.3456,16.7316
2008-08-19,1.3607,16.7579
2008-08-20,1.3644,16.7644
2008-08-21,1.3682,16.771
2008-08-22,1.3719,16.7775
2008-08-25,1.3831,16.797
2008-08-26,1.3867,16.8035
2008-08-27,1.3904,16.81
2008-08-28,1.3941,16.8164
2008-08-29,1.3977,16.8229
2008-09-01,1.4086,16.8421
2008-09-02,1.4123,16.8485
2008-09-03,1.4159,16.8549
2008-09-04,1.4194,16.8613
2008-09-05,1.423,16.8677
2008-09-08,1.4337,16.8867
2008-09-09,1.4372,16.8931
2008-09-10,1.4408,16.8994
2008-09-11,1.4443,16.9057
2008-09-12,1.4478,16.912
2008-09-16,1.4617,16.937
2008-09-17,1.4651,16.9433
2008-09-18,1.4686,16.9495
2008-09-19,1.472,16.9557
2008-09-22,1.4822,16.9743
2008-09-23,1.4856,16.9805
2008-09-24,1.489,16.9867
2008-09-25,1.4924,16.9928
2008-09-26,1.4957,16.999
2008-10-06,1.5287,17.0599
2008-10-07,1.5319,17.0659
2008-10-08,1.5352,17.0719
2008-10-09,1.5384,17.078
2008-10-10,1.5416,17.084
2008-10-13,1.5512,17.1019
2008-10-14,1.5544,17.1079
2008-10-15,1.5575,17.1138
2008-10-16,1.5607,17.1198
2008-10-17,1.5638,17.1257
2008-10-20,1.5732,17.1435
2008-10-21,1.5763,17.1493
2008-10-22,1.5794,17.1552
2008-10-23,1.5825,17.1611
2008-10-24,1.5856,17.167
2008-10-27,1.5947,17.1845
2008-10-28,1.5978,17.1903
2008-10-29,1.6008,17.1962
2008-10-30,1.6038,17.202
2008-10-31,1.6068,17.2078
2008-11-03,1.6158,17.2251
2008-11-04,1.6188,17.2309
2008-11-05,1.6217,17.2366
2008-11-06,1.6247,17.2424
2008-11-07,1.6276,17.2481
2008-11-10,1.6364,17.2653
2008-11-11,1.6393,17.271
2008-11-12,1.6422,17.2766
2008-11-13,1.6451,17.2823
2008-11-14,1.648,17.288
2008-11-17,1.6565,17.3049
2008-11-18,1.6594,17.3106
2008-11-19,1.6622,17.3162
2008-11-20,1.665,17.3218
2008-11-21,1.6678,17.3274
