日期,5均线,10均线,20均线,50均线,150均线
2008-05-16,0.0,0.0,0.0,0.0,0.0
2008-05-23,0.0,0.0,0.0,0.0,0.0
2008-05-30,0.0,0.0,0.0,0.0,0.0
2008-06-06,0.0,0.0,0.0,0.0,0.0
2008-06-13,1.722,0.0,0.0,0.0,0.0
2008-06-20,1.682,0.0,0.0,0.0,0.0
2008-06-27,1.558,0.0,0.0,0.0,0.0
2008-07-04,1.464,0.0,0.0,0.0,0.0
2008-07-11,1.4,0.0,0.0,0.0,0.0
2008-07-18,1.384,1.553,0.0,0.0,0.0
2008-07-25,1.432,1.557,0.0,0.0,0.0
2008-08-01,1.458,1.508,0.0,0.0,0.0
2008-08-08,1.448,1.456,0.0,0.0,0.0
2008-08-15,1.294,1.347,0.0,0.0,0.0
2008-08-22,1.17,1.277,0.0,0.0,0.0
2008-08-29,0.986,1.209,0.0,0.0,0.0
2008-09-05,0.814,1.136,0.0,0.0,0.0
2008-09-12,0.632,1.04,0.0,0.0,0.0
2008-09-19,0.552,0.923,0.0,0.0,0.0
2008-09-26,0.428,0.799,1.176,0.0,0.0
2008-10-10,0.31,0.648,1.102,0.0,0.0
2008-10-17,0.236,0.525,1.016,0.0,0.0
2008-10-24,0.212,0.422,0.939,0.0,0.0
2008-10-31,0.188,0.37,0.858,0.0,0.0
2008-11-07,0.224,0.326,0.802,0.0,0.0
2008-11-14,0.312,0.311,0.76,0.0,0.0
2008-11-21,0.392,0.314,0.725,0.0,0.0
2008-11-28,0.416,0.314,0.677,0.0,0.0
2008-12-05,0.46,0.324,0.624,0.0,0.0
2008-12-12,0.492,0.358,0.578,0.0,0.0
2008-12-19,0.58,0.446,0.547,0.0,0.0
2008-12-26,0.628,0.51,0.518,0.0,0.0
2008-12-31,0.71,0.563,0.492,0.0,0.0
2009-01-09,0.798,0.629,0.5,0.0,0.0
2009-01-16,0.892,0.692,0.509,0.0,0.0
2009-01-23,0.896,0.738,0.524,0.0,0.0
2009-02-06,0.944,0.786,0.55,0.0,0.0
2009-02-13,0.998,0.854,0.584,0.0,0.0
2009-02-20,1.01,0.904,0.614,0.0,0.0
2009-02-27,0.986,0.939,0.649,0.0,0.0
2009-03-06,1.006,0.951,0.698,0.0,0.0
2009-03-13,1.052,0.998,0.754,0.0,0.0
2009-03-20,1.08,1.039,0.801,0.0,0.0
2009-03-27,1.086,1.048,0.838,0.0,0.0
2009-04-03,1.208,1.097,0.895,0.0,0.0
2009-04-10,1.304,1.155,0.946,0.0,0.0
2009-04-17,1.366,1.209,0.997,0.0,0.0
2009-04-24,1.436,1.258,1.056,0.0,0.0
2009-04-30,1.522,1.304,1.104,0.0,0.0
2009-05-08,1.518,1.363,1.151,1.002,0.0
2009-05-15,1.532,1.418,1.184,1.004,0.0
2009-05-22,1.532,1.449,1.224,0.998,0.0
2009-05-27,1.528,1.482,1.26,0.992,0.0
2009-06-05,1.512,1.517,1.283,0.982,0.0
2009-06-12,1.512,1.515,1.306,0.981,0.0
2009-06-19,1.488,1.51,1.332,0.985,0.0
2009-06-26,1.474,1.503,1.356,0.99,0.0
2009-07-03,1.468,1.498,1.378,0.993,0.0
2009-07-10,1.526,1.519,1.412,0.995,0.0
2009-07-17,1.852,1.682,1.523,1.028,0.0
2009-07-24,2.154,1.821,1.62,1.057,0.0
2009-07-31,2.566,2.02,1.734,1.1,0.0
2009-08-07,3.018,2.243,1.862,1.15,0.0
2009-08-14,3.33,2.428,1.972,1.198,0.0
2009-08-21,3.31,2.581,2.048,1.242,0.0
2009-08-28,3.26,2.707,2.109,1.284,0.0
2009-09-04,3.102,2.834,2.169,1.329,0.0
