日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2008-05-16,1.14,1.5,1.73,1.14,362466,1144118216.96,-842.86,2242.86,1.57,169.06
2008-05-23,1.54,1.85,1.91,1.51,134336,485703576.82,26.67,23.33,0.35,62.66
2008-05-30,1.82,1.79,1.88,1.55,46186,165054145.97,17.84,-3.24,-0.06,21.54
2008-06-06,1.78,1.96,2.03,1.68,41684,158365869.37,19.55,9.5,0.17,19.44
2008-06-13,1.87,1.51,1.93,1.45,45794,160865591.21,24.49,-22.96,-0.45,21.36
2008-06-20,1.48,1.3,1.51,1.1,38178,117123708.55,27.15,-13.91,-0.21,17.81
2008-06-27,1.24,1.23,1.44,1.2,24013,73900111.99,18.46,-5.38,-0.07,11.2
2008-07-04,1.24,1.32,1.43,1.16,12862,39386463.8,21.95,7.32,0.09,6.0
2008-07-11,1.39,1.64,1.64,1.34,37389,120612066.03,22.73,24.24,0.32,17.44
2008-07-18,1.63,1.43,1.7,1.35,16191,54546406.7,21.34,-12.8,-0.21,7.55
2008-07-25,1.43,1.54,1.61,1.41,13807,45622316.82,13.99,7.69,0.11,6.44
2008-08-01,1.57,1.36,1.61,1.27,14992,48210812.07,22.08,-11.69,-0.18,6.99
2008-08-08,1.32,1.27,1.38,1.12,8884,26405715.48,19.12,-6.62,-0.09,4.14
2008-08-15,1.17,0.87,1.24,0.78,61044,153998577.84,36.22,-31.5,-0.4,22.78
2008-08-22,0.73,0.81,0.95,0.72,17920,43837926.26,26.44,-6.9,-0.06,6.69
2008-08-29,0.85,0.62,0.85,0.54,11625,25573213.35,38.27,-23.46,-0.19,4.34
2008-09-05,0.59,0.5,0.64,0.5,7121,14680814.08,22.58,-19.35,-0.12,2.66
2008-09-12,0.5,0.36,0.5,0.34,7197,13525797.11,32.0,-28.0,-0.14,2.69
2008-09-19,0.34,0.47,0.47,0.27,43550,84305652.16,55.56,30.56,0.11,16.25
2008-09-26,0.47,0.19,0.59,0.14,70120,120592027.73,95.74,-59.57,-0.28,26.16
2008-10-10,0.16,0.03,0.16,0.0,32251,47705482.38,84.21,-84.21,-0.16,12.03
2008-10-17,0.03,0.13,0.14,-0.05,25363,36277812.99,633.33,333.33,0.1,9.46
2008-10-24,0.13,0.24,0.34,0.11,40222,66259184.76,176.92,84.62,0.11,15.01
2008-10-31,0.24,0.35,0.38,0.17,30316,52933637.98,87.5,45.83,0.11,11.31
2008-11-07,0.34,0.37,0.43,0.22,18702,33307171.5,60.0,5.71,0.02,6.98
2008-11-14,0.37,0.47,0.5,0.36,32985,62838120.11,37.84,27.03,0.1,12.31
2008-11-21,0.46,0.53,0.71,0.42,39742,83051284.68,61.7,12.77,0.06,14.83
2008-11-28,0.53,0.36,0.57,0.35,23362,44590781.09,41.51,-32.08,-0.17,8.72
2008-12-05,0.36,0.57,0.61,0.36,35092,71107977.52,69.44,58.33,0.21,13.09
2008-12-12,0.58,0.53,0.7,0.52,34576,74368066.38,31.58,-7.02,-0.04,12.9
2008-12-19,0.57,0.91,0.99,0.54,33683,78655826.24,84.91,71.7,0.38,12.57
2008-12-26,0.89,0.77,0.99,0.65,61924,149686727.32,37.36,-15.38,-0.14,23.11
2008-12-31,0.76,0.77,0.89,0.7,19655,46735202.87,24.68,0.0,0.0,7.33
2009-01-09,0.8,1.01,1.05,0.76,43908,110304165.45,37.66,31.17,0.24,16.38
2009-01-16,1.02,1.0,1.11,0.91,55470,146838124.48,19.8,-0.99,-0.01,20.7
2009-01-23,1.03,0.93,1.06,0.93,18280,47528114.35,13.0,-7.0,-0.07,6.82
2009-02-06,0.94,1.01,1.03,0.94,25250,66598995.84,9.68,8.6,0.08,9.42
2009-02-13,1.02,1.04,1.14,0.94,49618,133247170.08,19.8,2.97,0.03,18.51
