日期,上轨,中轴10,下轨
2003-11-12,0.0,0.0,0.0
2003-11-13,0.0,0.0,0.0
2003-11-14,0.0,0.0,0.0
2003-11-17,0.0,0.0,0.0
2003-11-18,0.0,0.0,0.0
2003-11-19,0.0,0.0,0.0
2003-11-20,0.0,0.0,0.0
2003-11-21,0.0,0.0,0.0
2003-11-24,0.0,0.0,0.0
2003-11-25,0.938,0.831,0.724
2003-11-27,0.938,0.831,0.724
2003-11-28,0.956,0.837,0.718
2003-12-01,0.983,0.845,0.707
2003-12-02,1.007,0.853,0.699
2003-12-03,1.011,0.866,0.721
2003-12-04,1.006,0.882,0.758
2003-12-05,1.0,0.898,0.796
2003-12-08,0.991,0.917,0.843
2003-12-09,0.985,0.926,0.867
2003-12-10,0.988,0.932,0.876
2003-12-11,1.001,0.944,0.887
2003-12-12,1.02,0.953,0.886
2003-12-15,1.022,0.954,0.886
2003-12-16,1.028,0.957,0.886
2003-12-17,1.034,0.968,0.902
2003-12-18,1.033,0.977,0.921
2003-12-19,1.028,0.981,0.934
2003-12-22,1.097,0.997,0.897
2003-12-23,1.167,1.022,0.877
2003-12-24,1.237,1.051,0.865
2003-12-25,1.263,1.068,0.873
2003-12-26,1.29,1.086,0.882
2003-12-29,1.304,1.108,0.912
2003-12-30,1.317,1.13,0.943
2003-12-31,1.329,1.152,0.975
2004-01-02,1.351,1.183,1.015
2004-01-05,1.373,1.226,1.079
2004-01-06,1.393,1.247,1.101
2004-01-07,1.407,1.26,1.113
2004-01-08,1.448,1.277,1.106
2004-01-09,1.457,1.296,1.135
2004-01-12,1.494,1.323,1.152
2004-01-13,1.654,1.377,1.1
2004-01-14,1.748,1.428,1.108
2004-01-15,1.803,1.475,1.147
2004-01-16,1.806,1.497,1.188
2004-01-29,1.814,1.511,1.208
2004-01-30,1.809,1.516,1.223
2004-02-02,1.813,1.514,1.215
2004-02-03,1.814,1.511,1.208
2004-02-04,1.81,1.521,1.232
2004-02-05,1.811,1.523,1.235
2004-02-06,1.75,1.496,1.242
2004-02-09,1.678,1.473,1.268
2004-02-10,1.595,1.453,1.311
2004-02-11,1.622,1.46,1.298
2004-02-12,1.617,1.458,1.299
2004-02-13,1.621,1.468,1.315
2004-02-16,1.591,1.487,1.383
2004-02-17,1.576,1.5,1.424
2004-02-18,1.579,1.498,1.417
2004-02-19,1.583,1.493,1.403
2004-02-20,1.586,1.49,1.394
2004-02-23,1.593,1.48,1.367
2004-02-24,1.593,1.469,1.345
2004-02-25,1.543,1.45,1.357
2004-02-26,1.525,1.444,1.363
2004-02-27,1.519,1.442,1.365
2004-03-01,1.551,1.449,1.347
2004-03-02,1.558,1.451,1.344
2004-03-04,1.563,1.455,1.347
2004-03-05,1.58,1.465,1.35
2004-03-08,1.585,1.471,1.357
2004-03-09,1.579,1.479,1.379
2004-03-10,1.575,1.492,1.409
2004-03-11,1.592,1.51,1.428
2004-03-12,1.606,1.522,1.438
2004-03-15,1.68,1.546,1.412
2004-03-16,1.737,1.563,1.389
2004-03-17,1.777,1.582,1.387
2004-03-18,1.787,1.6,1.413
2004-03-19,1.869,1.633,1.397
2004-03-22,1.925,1.671,1.417
2004-03-23,1.962,1.714,1.466
2004-03-24,1.973,1.748,1.523
2004-03-25,1.997,1.78,1.563
2004-03-26,1.985,1.809,1.633
2004-03-29,1.984,1.821,1.658
2004-03-30,1.982,1.831,1.68
2004-03-31,1.979,1.846,1.713
2004-04-01,1.955,1.877,1.799
2004-04-02,2.031,1.897,1.763
2004-04-05,2.099,1.92,1.741
2004-04-06,2.243,1.959,1.675
2004-04-07,2.317,1.997,1.677
2004-04-08,2.355,2.024,1.693
2004-04-09,2.357,2.042,1.727
2004-04-12,2.362,2.075,1.788
2004-04-13,2.366,2.116,1.866
2004-04-14,2.339,2.148,1.957
2004-04-15,2.342,2.147,1.952
2004-04-16,2.362,2.135,1.908
2004-04-19,2.378,2.117,1.856
2004-04-20,2.341,2.078,1.815
2004-04-21,2.305,2.042,1.779
2004-04-22,2.269,2.019,1.769
2004-04-23,2.262,2.008,1.754
2004-04-26,2.221,1.981,1.741
2004-04-27,2.122,1.94,1.758
2004-04-28,2.043,1.89,1.737
2004-04-29,2.041,1.866,1.691
2004-04-30,2.027,1.847,1.667
2004-05-10,2.01,1.833,1.656
2004-05-11,1.994,1.82,1.646
2004-05-12,1.985,1.815,1.645
2004-05-13,1.942,1.798,1.654
2004-05-14,1.892,1.775,1.658
2004-05-17,1.881,1.745,1.609
2004-05-18,1.87,1.722,1.574
2004-05-19,1.891,1.707,1.523
2004-05-20,1.89,1.695,1.5
2004-05-21,1.88,1.678,1.476
2004-05-24,1.855,1.659,1.463
2004-05-25,1.826,1.639,1.452
2004-05-26,1.753,1.614,1.475
2004-05-27,1.706,1.605,1.504
2004-05-28,1.687,1.601,1.515
2004-05-31,1.697,1.607,1.517
2004-06-01,1.723,1.617,1.511
2004-06-02,1.736,1.633,1.53
2004-06-03,1.75,1.643,1.536
2004-06-04,1.764,1.657,1.55
2004-06-07,1.764,1.666,1.568
2004-06-08,1.75,1.674,1.598
2004-06-09,1.742,1.676,1.61
2004-06-10,1.744,1.668,1.592
2004-06-11,1.743,1.665,1.587
2004-06-14,1.762,1.654,1.546
2004-06-15,1.768,1.635,1.502
2004-06-16,1.763,1.615,1.467
2004-06-17,1.861,1.561,1.261
2004-06-18,1.899,1.495,1.091
2004-06-21,1.891,1.433,0.975
2004-06-22,1.854,1.375,0.896
2004-06-23,1.814,1.317,0.82
2004-06-24,1.744,1.255,0.766
2004-06-25,1.63,1.187,0.744
2004-06-28,1.52,1.131,0.742
2004-06-29,1.381,1.079,0.777
2004-06-30,1.142,1.028,0.914
2004-07-01,1.09,1.016,0.942
2004-07-02,1.082,1.013,0.944
2004-07-05,1.07,1.004,0.938
2004-07-06,1.053,0.99,0.927
2004-07-07,1.057,0.978,0.899
2004-07-08,1.071,0.965,0.859
2004-07-09,1.083,0.953,0.823
2004-07-12,1.094,0.934,0.774
2004-07-13,1.094,0.912,0.73
2004-07-14,1.08,0.892,0.704
2004-07-15,1.035,0.867,0.699
2004-07-16,0.976,0.848,0.72
2004-07-19,0.932,0.833,0.734
2004-07-20,0.909,0.812,0.715
2004-07-21,0.878,0.8,0.722
2004-07-22,0.884,0.78,0.676
2004-07-23,0.874,0.765,0.656
2004-07-26,0.876,0.752,0.628
2004-07-27,0.874,0.742,0.61
2004-07-28,0.866,0.728,0.59
2004-07-29,0.853,0.714,0.575
2004-07-30,0.809,0.698,0.587
2004-08-02,0.76,0.685,0.61
2004-08-03,0.754,0.682,0.61
2004-08-04,0.735,0.679,0.623
2004-08-05,0.752,0.687,0.622
2004-08-06,0.761,0.691,0.621
2004-08-09,0.775,0.7,0.625
2004-08-10,0.785,0.708,0.631
2004-08-11,0.788,0.718,0.648
2004-08-12,0.783,0.72,0.657
2004-08-13,0.785,0.719,0.653
2004-08-16,0.797,0.713,0.629
2004-08-17,0.806,0.706,0.606
2004-08-18,0.797,0.696,0.595
2004-08-19,0.787,0.687,0.587
2004-08-20,0.776,0.679,0.582
2004-08-23,0.756,0.671,0.586
2004-08-24,0.756,0.671,0.586
2004-08-25,0.766,0.673,0.58
2004-08-26,0.788,0.682,0.576
2004-08-27,0.803,0.69,0.577
2004-08-30,0.808,0.7,0.592
2004-08-31,0.813,0.714,0.615
2004-09-01,0.813,0.723,0.633
2004-09-02,0.806,0.73,0.654
2004-09-03,0.793,0.736,0.679
2004-09-06,0.793,0.736,0.679
2004-09-07,0.791,0.731,0.671
2004-09-08,0.78,0.725,0.67
2004-09-09,0.783,0.726,0.669
2004-09-10,0.803,0.731,0.659
2004-09-13,0.806,0.733,0.66
2004-09-14,0.828,0.739,0.65
2004-09-15,0.886,0.755,0.624
2004-09-16,0.936,0.775,0.614
2004-09-17,1.012,0.805,0.598
2004-09-20,1.109,0.85,0.591
2004-09-21,1.159,0.888,0.617
2004-09-22,1.197,0.927,0.657
2004-09-23,1.312,0.981,0.65
2004-09-24,1.355,1.022,0.689
2004-09-27,1.366,1.069,0.772
2004-09-28,1.361,1.107,0.853
2004-09-30,1.34,1.124,0.908
2004-10-08,1.313,1.144,0.975
2004-10-11,1.301,1.157,1.013
2004-10-12,1.301,1.155,1.009
2004-10-13,1.301,1.155,1.009
2004-10-14,1.35,1.134,0.918
2004-10-15,1.308,1.096,0.884
2004-10-18,1.29,1.066,0.842
2004-10-19,1.246,1.04,0.834
2004-10-20,1.196,1.018,0.84
2004-10-21,1.184,1.007,0.83
2004-10-22,1.155,0.994,0.833
2004-10-25,1.124,0.961,0.798
2004-10-26,1.116,0.922,0.728
2004-10-27,1.1,0.88,0.66
2004-10-28,1.105,0.861,0.617
2004-10-29,1.112,0.828,0.544
2004-11-01,1.118,0.79,0.462
2004-11-02,1.105,0.738,0.371
2004-11-03,1.048,0.686,0.324
2004-11-04,0.987,0.625,0.263
2004-11-05,0.866,0.56,0.254
2004-11-08,0.799,0.51,0.221
2004-11-09,0.742,0.477,0.212
2004-11-10,0.701,0.463,0.225
2004-11-11,0.615,0.437,0.259
2004-11-12,0.558,0.416,0.274
2004-11-15,0.562,0.417,0.272
2004-11-16,0.598,0.429,0.26
2004-11-17,0.609,0.434,0.259
2004-11-18,0.623,0.451,0.279
2004-11-19,0.626,0.468,0.31
2004-11-22,0.613,0.491,0.369
2004-11-23,0.606,0.507,0.408
2004-11-24,0.603,0.504,0.405
2004-11-25,0.602,0.505,0.408
2004-11-26,0.585,0.51,0.435
2004-11-29,0.58,0.502,0.424
2004-11-30,0.565,0.497,0.429
2004-12-01,0.563,0.492,0.421
2004-12-02,0.558,0.484,0.41
2004-12-03,0.553,0.477,0.401
2004-12-06,0.533,0.469,0.405
2004-12-07,0.504,0.46,0.416
2004-12-08,0.496,0.454,0.412
2004-12-09,0.514,0.46,0.406
2004-12-10,0.514,0.462,0.41
2004-12-13,0.517,0.464,0.411
2004-12-14,0.517,0.464,0.411
2004-12-15,0.542,0.472,0.402
2004-12-16,0.544,0.477,0.41
2004-12-17,0.543,0.481,0.419
2004-12-20,0.551,0.476,0.401
2004-12-21,0.556,0.472,0.388
2004-12-22,0.555,0.476,0.397
2004-12-23,0.547,0.47,0.393
2004-12-24,0.55,0.465,0.38
2004-12-27,0.547,0.46,0.373
2004-12-29,0.534,0.45,0.366
2004-12-30,0.506,0.433,0.36
2004-12-31,0.494,0.42,0.346
2005-01-04,0.517,0.396,0.275
2005-01-05,0.529,0.38,0.231
2005-01-06,0.54,0.359,0.178
2005-01-07,0.52,0.332,0.144
2005-01-10,0.487,0.312,0.137
2005-01-11,0.466,0.303,0.14
2005-01-12,0.427,0.287,0.147
2005-01-13,0.386,0.273,0.16
2005-01-14,0.354,0.261,0.168
2005-01-17,0.319,0.244,0.169
2005-01-18,0.318,0.242,0.166
2005-01-19,0.316,0.24,0.164
2005-01-20,0.316,0.244,0.172
2005-01-21,0.33,0.255,0.18
2005-01-24,0.364,0.266,0.168
2005-01-25,0.393,0.273,0.153
2005-01-26,0.432,0.287,0.142
2005-01-27,0.436,0.291,0.146
2005-01-28,0.436,0.292,0.148
2005-01-31,0.429,0.3,0.171
2005-02-01,0.424,0.306,0.188
2005-02-02,0.472,0.33,0.188
2005-02-03,0.489,0.349,0.209
2005-02-04,0.58,0.378,0.176
2005-02-16,0.652,0.404,0.156
2005-02-17,0.71,0.428,0.146
2005-02-18,0.759,0.451,0.143
2005-02-21,0.842,0.497,0.152
2005-02-22,0.893,0.549,0.205
2005-02-23,0.898,0.595,0.292
2005-02-24,0.881,0.645,0.409
2005-02-25,0.878,0.67,0.462
2005-02-28,0.83,0.688,0.546
2005-03-01,0.828,0.69,0.552
2005-03-02,0.842,0.682,0.522
2005-03-03,0.848,0.676,0.504
2005-03-04,0.85,0.671,0.492
2005-03-07,0.825,0.651,0.477
2005-03-08,0.789,0.637,0.485
2005-03-09,0.767,0.628,0.489
2005-03-10,0.71,0.603,0.496
2005-03-11,0.664,0.585,0.506
2005-03-14,0.673,0.571,0.469
2005-03-15,0.676,0.553,0.43
2005-03-16,0.683,0.543,0.403
2005-03-17,0.707,0.519,0.331
2005-03-18,0.701,0.495,0.289
2005-03-21,0.686,0.476,0.266
2005-03-22,0.646,0.441,0.236
2005-03-23,0.579,0.407,0.235
2005-03-24,0.543,0.392,0.241
2005-03-25,0.489,0.371,0.253
2005-03-28,0.457,0.357,0.257
2005-03-29,0.431,0.343,0.255
2005-03-31,0.391,0.33,0.269
2005-04-01,0.407,0.336,0.265
2005-04-04,0.404,0.334,0.264
2005-04-05,0.395,0.331,0.267
2005-04-06,0.437,0.347,0.257
