日期,5均线,10均线,20均线,50均线,150均线
2003-11-12,0.88,0.88,0.88,0.88,0.88
2003-11-13,0.873,0.876,0.878,0.879,0.88
2003-11-14,0.876,0.877,0.878,0.879,0.88
2003-11-17,0.877,0.878,0.878,0.879,0.88
2003-11-18,0.841,0.858,0.868,0.875,0.878
2003-11-19,0.811,0.838,0.857,0.87,0.877
2003-11-20,0.797,0.826,0.849,0.866,0.875
2003-11-21,0.792,0.818,0.842,0.863,0.874
2003-11-24,0.811,0.823,0.843,0.862,0.874
2003-11-25,0.837,0.836,0.847,0.863,0.874
2003-11-27,0.852,0.844,0.85,0.864,0.874
2003-11-28,0.874,0.858,0.857,0.866,0.875
2003-12-01,0.903,0.876,0.867,0.87,0.876
2003-12-02,0.922,0.891,0.876,0.873,0.877
2003-12-03,0.915,0.893,0.878,0.874,0.877
2003-12-04,0.913,0.896,0.881,0.876,0.878
2003-12-05,0.919,0.902,0.886,0.878,0.878
2003-12-08,0.936,0.915,0.894,0.882,0.879
2003-12-09,0.937,0.919,0.898,0.884,0.88
2003-12-10,0.941,0.925,0.903,0.886,0.881
2003-12-11,0.961,0.938,0.912,0.891,0.883
2003-12-12,0.977,0.951,0.922,0.896,0.884
2003-12-15,0.975,0.955,0.926,0.899,0.886
2003-12-16,0.98,0.961,0.932,0.902,0.887
2003-12-17,0.99,0.97,0.94,0.906,0.889
2003-12-18,0.993,0.976,0.945,0.91,0.89
2003-12-19,0.986,0.975,0.948,0.912,0.891
2003-12-22,1.034,1.003,0.965,0.921,0.894
2003-12-23,1.086,1.037,0.987,0.931,0.898
2003-12-24,1.137,1.074,1.011,0.944,0.903
2003-12-25,1.148,1.091,1.026,0.952,0.906
2003-12-26,1.162,1.109,1.041,0.962,0.91
2003-12-29,1.171,1.124,1.056,0.971,0.914
2003-12-30,1.184,1.14,1.07,0.98,0.918
2003-12-31,1.2,1.156,1.086,0.99,0.922
2004-01-02,1.236,1.184,1.107,1.002,0.927
2004-01-05,1.291,1.223,1.135,1.018,0.933
2004-01-06,1.307,1.244,1.154,1.031,0.939
2004-01-07,1.312,1.258,1.17,1.042,0.944
2004-01-08,1.344,1.286,1.193,1.056,0.95
2004-01-09,1.35,1.299,1.209,1.068,0.955
2004-01-12,1.386,1.329,1.233,1.084,0.962
2004-01-13,1.501,1.402,1.28,1.109,0.972
2004-01-14,1.574,1.459,1.322,1.133,0.982
2004-01-15,1.616,1.503,1.358,1.155,0.991
2004-01-16,1.587,1.508,1.374,1.17,0.999
2004-01-29,1.572,1.514,1.39,1.184,1.006
2004-01-30,1.511,1.491,1.39,1.193,1.011
2004-02-02,1.441,1.457,1.382,1.197,1.015
2004-02-03,1.42,1.443,1.381,1.204,1.02
2004-02-04,1.434,1.446,1.389,1.214,1.025
2004-02-05,1.449,1.452,1.398,1.224,1.031
2004-02-06,1.453,1.453,1.404,1.234,1.037
2004-02-09,1.465,1.46,1.412,1.244,1.043
2004-02-10,1.477,1.467,1.42,1.254,1.049
2004-02-11,1.518,1.491,1.437,1.267,1.056
2004-02-12,1.519,1.497,1.445,1.277,1.063
2004-02-13,1.509,1.495,1.449,1.286,1.068
2004-02-16,1.503,1.494,1.453,1.294,1.074
2004-02-17,1.505,1.497,1.459,1.302,1.08
2004-02-18,1.483,1.487,1.457,1.307,1.084
2004-02-19,1.466,1.477,1.454,1.312,1.089
2004-02-20,1.454,1.468,1.452,1.317,1.093
2004-02-23,1.432,1.454,1.446,1.32,1.097
2004-02-24,1.418,1.442,1.441,1.323,1.101
2004-02-25,1.416,1.436,1.438,1.326,1.105
2004-02-26,1.43,1.441,1.44,1.331,1.11
2004-02-27,1.444,1.446,1.443,1.337,1.115
2004-03-01,1.482,1.467,1.454,1.345,1.121
2004-03-02,1.498,1.478,1.461,1.353,1.126
2004-03-04,1.492,1.479,1.463,1.358,1.131
2004-03-05,1.505,1.488,1.469,1.364,1.136
2004-03-08,1.5,1.488,1.471,1.369,1.141
