日期,上轨,中轴10,下轨
2003-11-14,0.0,0.0,0.0
2003-11-21,0.0,0.0,0.0
2003-11-28,0.0,0.0,0.0
2003-12-05,0.0,0.0,0.0
2003-12-12,0.0,0.0,0.0
2003-12-19,0.0,0.0,0.0
2003-12-26,0.0,0.0,0.0
2004-01-02,0.0,0.0,0.0
2004-01-09,0.0,0.0,0.0
2004-01-16,1.553,1.088,0.623
2004-01-30,1.613,1.139,0.665
2004-02-06,1.65,1.207,0.764
2004-02-13,1.691,1.264,0.837
2004-02-20,1.686,1.314,0.942
2004-02-27,1.681,1.36,1.039
2004-03-05,1.619,1.416,1.213
2004-03-12,1.614,1.455,1.296
2004-03-19,1.775,1.51,1.245
2004-03-26,1.882,1.561,1.24
2004-04-02,2.051,1.614,1.177
2004-04-09,2.159,1.68,1.201
2004-04-16,2.205,1.728,1.251
2004-04-23,2.237,1.773,1.309
2004-04-30,2.21,1.805,1.4
2004-05-14,2.176,1.829,1.482
2004-05-21,2.165,1.834,1.503
2004-05-28,2.15,1.843,1.536
2004-06-04,2.144,1.829,1.514
2004-06-11,2.139,1.806,1.473
2004-06-18,2.223,1.706,1.189
2004-06-25,2.226,1.597,0.968
2004-07-02,2.172,1.506,0.84
2004-07-09,2.101,1.396,0.691
2004-07-16,2.038,1.305,0.572
2004-07-23,1.966,1.203,0.44
2004-07-30,1.889,1.113,0.337
2004-08-06,1.727,1.019,0.311
2004-08-13,1.47,0.914,0.358
2004-08-20,1.11,0.815,0.52
2004-08-27,1.031,0.784,0.537
2004-09-03,0.979,0.759,0.539
2004-09-10,0.868,0.736,0.604
2004-09-17,0.958,0.753,0.548
2004-09-24,1.132,0.79,0.448
2004-09-30,1.2,0.828,0.456
2004-10-08,1.267,0.872,0.477
2004-10-15,1.277,0.892,0.507
2004-10-22,1.282,0.924,0.566
2004-10-29,1.293,0.919,0.545
2004-11-05,1.384,0.878,0.372
2004-11-12,1.425,0.846,0.267
2004-11-19,1.431,0.817,0.203
2004-11-26,1.397,0.76,0.123
2004-12-03,1.267,0.683,0.099
2004-12-10,1.157,0.622,0.087
2004-12-17,0.981,0.558,0.135
2004-12-24,0.855,0.506,0.157
2004-12-31,0.587,0.443,0.299
2005-01-07,0.571,0.403,0.235
2005-01-14,0.583,0.394,0.205
2005-01-21,0.582,0.386,0.19
2005-01-28,0.551,0.361,0.171
2005-02-04,0.612,0.377,0.142
2005-02-18,0.679,0.397,0.115
2005-02-25,0.765,0.423,0.081
2005-03-04,0.79,0.434,0.078
2005-03-11,0.808,0.447,0.086
2005-03-18,0.808,0.446,0.084
2005-03-25,0.793,0.459,0.125
2005-04-01,0.781,0.473,0.165
2005-04-08,0.808,0.506,0.204
2005-04-15,0.819,0.549,0.279
2005-04-22,0.867,0.566,0.265
2005-04-29,0.936,0.588,0.24
2005-05-13,0.931,0.586,0.241
2005-05-20,0.963,0.603,0.243
2005-05-27,1.017,0.633,0.249
2005-06-03,1.041,0.685,0.329
2005-06-10,1.083,0.756,0.429
2005-06-17,1.146,0.834,0.522
2005-06-24,1.228,0.887,0.546
2005-07-01,1.237,0.918,0.599
2005-07-08,1.241,0.914,0.587
2005-07-15,1.241,0.911,0.581
2005-07-22,1.232,0.934,0.636
2005-07-29,1.234,0.958,0.682
2005-08-05,1.255,0.982,0.709
2005-08-12,1.26,0.997,0.734
2005-08-19,1.252,0.991,0.73
2005-08-26,1.206,0.973,0.74
2005-09-02,1.168,0.963,0.758
2005-09-09,1.233,0.983,0.733
2005-09-23,1.238,1.028,0.818
2005-09-30,1.244,1.063,0.882
2005-12-16,1.234,1.072,0.91
2005-12-23,1.236,1.081,0.926
2005-12-30,1.24,1.084,0.928
2006-01-06,1.259,1.1,0.941
2006-01-13,1.272,1.123,0.974
2006-01-19,1.304,1.153,1.002
2006-01-25,1.318,1.17,1.022
2006-02-10,1.611,1.226,0.841
2006-02-17,1.727,1.272,0.817
