日期,5均线,10均线,20均线,50均线,150均线
2003-11-14,0.88,0.88,0.88,0.88,0.88
2003-11-21,0.847,0.862,0.87,0.876,0.879
2003-11-28,0.871,0.872,0.875,0.878,0.879
2003-12-05,0.891,0.883,0.88,0.88,0.88
2003-12-12,0.93,0.906,0.893,0.885,0.882
2003-12-19,0.944,0.918,0.9,0.888,0.883
2003-12-26,1.026,0.967,0.928,0.9,0.887
2004-01-02,1.121,1.029,0.964,0.916,0.892
2004-01-09,1.2,1.09,1.002,0.934,0.899
2004-01-16,1.31,1.17,1.052,0.957,0.907
2004-01-30,1.337,1.21,1.084,0.974,0.913
2004-02-06,1.378,1.255,1.12,0.993,0.921
2004-02-13,1.415,1.298,1.155,1.013,0.928
2004-02-20,1.42,1.322,1.181,1.029,0.935
2004-02-27,1.437,1.349,1.209,1.046,0.942
2004-03-05,1.468,1.382,1.24,1.065,0.95
2004-03-12,1.505,1.418,1.272,1.085,0.958
2004-03-19,1.623,1.498,1.328,1.116,0.97
2004-03-26,1.706,1.566,1.38,1.145,0.982
2004-04-02,1.824,1.656,1.444,1.181,0.996
2004-04-09,1.899,1.727,1.502,1.215,1.01
2004-04-16,1.913,1.766,1.544,1.244,1.022
2004-04-23,1.922,1.798,1.582,1.271,1.035
2004-04-30,1.865,1.789,1.598,1.29,1.044
2004-05-14,1.813,1.775,1.608,1.306,1.053
2004-05-21,1.735,1.739,1.606,1.317,1.06
2004-05-28,1.714,1.727,1.612,1.331,1.068
2004-06-04,1.716,1.725,1.622,1.346,1.077
2004-06-11,1.69,1.71,1.624,1.358,1.084
2004-06-18,1.48,1.592,1.57,1.346,1.084
2004-06-25,1.307,1.477,1.512,1.331,1.082
2004-07-02,1.215,1.396,1.466,1.319,1.081
2004-07-09,1.09,1.295,1.406,1.3,1.078
2004-07-16,1.006,1.212,1.352,1.282,1.075
2004-07-23,0.901,1.117,1.289,1.259,1.07
2004-07-30,0.827,1.038,1.231,1.236,1.065
2004-08-06,0.795,0.982,1.184,1.216,1.06
2004-08-13,0.753,0.925,1.135,1.195,1.055
2004-08-20,0.719,0.875,1.089,1.174,1.05
2004-08-27,0.729,0.852,1.056,1.157,1.046
2004-09-03,0.723,0.826,1.023,1.139,1.041
2004-09-10,0.749,0.822,1.002,1.126,1.038
2004-09-17,0.836,0.856,1.003,1.122,1.038
2004-09-24,0.96,0.92,1.023,1.125,1.04
2004-09-30,0.997,0.947,1.027,1.123,1.041
2004-10-08,1.038,0.979,1.036,1.123,1.042
2004-10-15,1.002,0.97,1.026,1.115,1.04
2004-10-22,0.998,0.974,1.022,1.11,1.039
2004-10-29,0.865,0.906,0.982,1.09,1.034
2004-11-05,0.69,0.803,0.921,1.061,1.024
2004-11-12,0.59,0.728,0.87,1.035,1.016
2004-11-19,0.563,0.688,0.836,1.014,1.009
2004-11-26,0.522,0.643,0.798,0.991,1.002
2004-12-03,0.495,0.606,0.764,0.97,0.994
2004-12-10,0.483,0.58,0.735,0.95,0.987
2004-12-17,0.482,0.561,0.711,0.931,0.981
2004-12-24,0.458,0.534,0.682,0.911,0.973
2004-12-31,0.425,0.502,0.652,0.889,0.965
2005-01-07,0.35,0.447,0.609,0.862,0.955
2005-01-14,0.317,0.411,0.574,0.838,0.945
2005-01-21,0.315,0.393,0.549,0.818,0.937
2005-01-28,0.296,0.369,0.522,0.796,0.928
2005-02-04,0.398,0.411,0.529,0.788,0.924
