日期,RSI_14,SMA_7
2003-11-21,79.521,0.0
2003-11-28,81.849,0.0
2003-12-05,81.973,0.0
2003-12-12,83.272,0.0
2003-12-19,80.228,0.0
2003-12-26,83.708,0.0
2004-01-02,85.214,93.288
2004-01-09,85.844,93.377
2004-01-16,87.673,93.47
2004-01-30,78.645,91.041
2004-02-06,79.769,88.823
2004-02-13,80.265,87.754
2004-02-20,76.384,85.028
2004-02-27,77.203,82.389
2004-03-05,78.391,80.06
2004-03-12,79.357,77.838
2004-03-19,83.613,79.23
2004-03-26,83.82,80.333
2004-04-02,86.085,81.767
2004-04-09,85.35,84.11
2004-04-16,78.033,84.037
2004-04-23,78.092,83.582
2004-04-30,66.595,79.799
2004-05-14,64.487,74.419
2004-05-21,57.906,67.603
2004-05-28,60.917,61.516
2004-06-04,62.415,56.233
2004-06-11,58.409,52.1
2004-06-18,38.749,44.516
2004-06-25,36.461,39.66
2004-07-02,39.134,36.136
2004-07-09,34.825,33.344
2004-07-16,34.851,29.364
2004-07-23,31.62,24.299
2004-07-30,31.439,20.203
2004-08-06,33.746,20.371
2004-08-13,32.35,20.545
2004-08-20,31.837,19.787
2004-08-27,36.941,21.567
2004-09-03,35.792,23.024
2004-09-10,40.261,26.519
2004-09-17,49.203,32.533
2004-09-24,55.948,39.188
2004-09-30,50.864,44.454
2004-10-08,52.512,50.213
2004-10-15,46.147,52.167
2004-10-22,48.285,55.029
2004-10-29,37.783,53.677
2004-11-05,32.655,48.808
2004-11-12,34.501,42.987
2004-11-19,38.804,40.04
2004-11-26,37.272,36.303
2004-12-03,37.233,34.515
2004-12-10,38.113,32.413
2004-12-17,38.959,33.26
2004-12-24,37.019,34.513
2004-12-31,35.656,34.83
2005-01-07,31.636,32.87
2005-01-14,34.146,32.208
2005-01-21,37.095,32.577
2005-01-28,35.645,32.202
2005-02-04,49.864,35.532
2005-02-18,51.238,39.777
2005-02-25,53.921,45.037
2005-03-04,49.144,49.675
2005-03-11,47.431,52.825
2005-03-18,41.45,53.141
2005-03-25,40.869,53.771
2005-04-01,43.438,51.236
2005-04-08,52.656,50.902
2005-04-15,54.286,50.356
2005-04-22,56.783,52.1
2005-04-29,59.531,55.009
2005-05-13,53.151,57.554
2005-05-20,55.092,60.785
2005-05-27,57.594,63.846
2005-06-03,58.567,64.647
2005-06-10,63.484,66.218
2005-06-17,66.795,67.851
2005-06-24,66.771,68.895
2005-07-01,58.818,69.383
2005-07-08,48.811,66.699
2005-07-15,52.043,64.344
2005-07-22,55.108,62.632
2005-07-29,57.222,60.354
2005-08-05,59.475,58.06
2005-08-12,57.018,54.989
2005-08-19,55.364,54.129
2005-08-26,55.736,56.043
2005-09-02,58.47,57.88
2005-09-09,62.566,60.007
2005-09-23,61.573,61.201
2005-09-30,61.548,61.752
2005-12-16,53.575,60.338
2005-12-23,56.272,60.384
2005-12-30,57.004,60.569
2006-01-06,59.656,60.74
2006-01-13,60.774,60.091
2006-01-19,63.625,60.645
2006-01-25,60.686,60.084
2006-02-10,74.233,65.29
2006-02-17,68.358,67.937
2006-02-24,74.396,71.478
2006-03-03,74.505,74.147
2006-03-10,65.444,74.093
2006-03-17,64.2,72.884
2006-03-24,64.684,72.933
2006-03-31,64.694,69.96
2006-04-07,67.16,69.354
2006-04-14,72.918,69.024
2006-04-21,69.203,67.583
2006-04-28,75.348,69.9
2006-05-12,78.494,73.11
2006-05-19,81.788,76.703
2006-05-26,68.806,77.171
2006-06-02,71.787,77.602
2006-06-09,60.627,74.139
2006-06-16,62.177,72.178
2006-06-23,60.38,68.429
2006-06-30,61.236,64.346
2006-07-07,61.252,59.748
2006-07-14,54.195,56.503
2006-07-21,50.562,51.731
2006-07-28,49.604,49.204
2006-08-04,40.046,44.445
2006-08-11,41.847,40.702
2006-08-18,42.391,36.898
2006-08-25,42.355,33.091
2006-09-01,43.285,31.413
2006-09-08,42.768,30.416
2006-09-15,48.647,31.93
2006-09-22,45.019,34.123
2006-09-29,45.916,36.055
2006-10-13,51.006,39.531
2006-10-20,51.0,43.007
2006-10-27,46.254,44.486
2006-11-03,49.129,47.091
2006-11-10,49.467,47.518
2006-11-17,49.426,49.086
2006-11-24,54.453,52.001
2006-12-01,61.356,54.897
2006-12-08,54.902,55.547
2006-12-15,64.171,59.955
2006-12-22,62.463,62.851
2006-12-29,62.891,65.724
2007-01-05,69.649,69.957
2007-01-12,68.215,72.041
2007-01-19,79.66,74.171
2007-01-26,83.311,78.947
2007-02-02,72.697,79.145
2007-02-09,77.974,80.843
2007-02-16,82.342,83.162
2007-03-02,69.37,81.388
2007-03-09,70.452,80.312
2007-03-16,70.148,77.398
2007-03-23,73.14,74.808
2007-03-30,70.506,74.023
2007-04-06,73.288,72.958
2007-04-13,77.906,72.199
2007-04-20,80.742,74.714
2007-04-27,81.06,77.039
2007-04-30,81.241,79.479
2007-05-11,82.499,81.443
2007-05-18,82.775,84.115
2007-05-25,84.558,86.415
2007-06-01,63.252,82.357
2007-06-08,61.984,77.492
2007-06-15,67.572,74.284
2007-06-22,61.383,69.639
2007-06-29,61.996,64.933
2007-07-06,55.462,58.71
2007-07-13,53.526,51.739
2007-07-20,54.053,50.287
2007-07-27,60.237,51.151
2007-08-03,61.509,50.687
2007-08-10,60.351,51.281
2007-08-17,63.96,52.802
2007-08-24,64.67,55.996
2007-08-31,69.618,60.896
2007-09-07,71.247,65.979
2007-09-14,72.708,69.332
2007-09-21,75.606,72.87
2007-09-28,71.122,75.319
2007-10-12,63.431,74.434
2007-10-19,59.884,72.412
2007-10-26,47.448,66.401
2007-11-02,44.36,59.465
2007-11-09,42.379,51.857
2007-11-15,42.171,43.636
2007-11-23,42.011,36.814
2007-11-30,42.807,32.535
2007-12-07,47.424,30.984
2007-12-14,47.333,32.1
2007-12-21,51.341,35.233
2007-12-28,54.659,39.777
2008-01-04,58.7,45.487
2008-01-11,62.019,52.026
2008-01-18,55.334,55.978
2008-01-25,46.277,55.696
2008-02-01,41.479,54.376
2008-02-05,45.785,52.891
2008-02-15,44.737,50.085
2008-02-22,51.127,48.001
2008-02-29,49.354,44.611
2008-03-07,48.703,43.297
2008-03-14,40.672,42.316
2008-03-21,37.564,41.728
2008-03-28,35.852,39.485
2008-04-03,32.285,36.812
2008-04-11,33.586,32.723
2008-04-18,28.011,28.107
2008-04-25,34.837,25.713
2008-04-30,35.367,25.575
2008-05-09,35.359,26.11
2008-05-16,36.092,27.251
2008-05-23,32.249,28.002
2008-05-30,31.346,28.083
2008-06-06,31.751,29.354
2008-06-13,27.202,27.491
2008-06-20,25.058,25.05
2008-06-27,24.651,22.535
2008-07-04,27.702,20.886
2008-07-11,28.49,20.609
2008-07-18,28.281,20.505
2008-07-25,34.611,22.558
2008-08-01,32.181,24.77
2008-08-08,29.11,26.396
2008-08-15,27.361,27.596
2008-08-22,26.302,27.393
2008-08-29,27.194,27.235
2008-09-05,26.233,26.848
2008-09-12,25.786,24.019
2008-09-19,26.642,22.497
2008-09-26,26.409,21.895
2008-10-10,23.593,20.922
2008-10-17,22.954,20.069
2008-10-24,23.459,19.112
2008-10-31,22.045,18.052
2008-11-07,22.031,17.128
2008-11-14,32.31,19.883
2008-11-21,33.748,23.185
2008-11-28,32.125,26.562
2008-12-05,39.062,32.204
2008-12-12,36.585,36.451
2008-12-19,39.146,41.833
2008-12-26,35.51,45.669
2008-12-31,37.177,45.988
2009-01-09,41.675,47.148
2009-01-16,43.298,49.539
2009-01-23,43.111,49.755
2009-02-06,52.601,53.39
2009-02-13,65.544,58.169
2009-02-20,61.971,63.326
2009-02-27,54.357,65.64
2009-03-06,59.371,67.707
2009-03-13,55.138,68.137
2009-03-20,57.737,69.251
2009-03-27,59.1,68.423
2009-04-03,58.187,65.418
2009-04-10,58.329,63.616
2009-04-17,61.967,65.07
2009-04-24,63.615,65.865
2009-04-30,62.5,67.44
2009-05-08,64.502,68.935
2009-05-15,67.316,70.764
2009-05-22,72.199,73.794
2009-05-27,75.187,77.224
2009-06-05,77.74,80.039
2009-06-12,70.178,80.145
2009-06-19,71.177,80.913
2009-06-26,71.643,81.274
2009-07-03,68.095,79.841
2009-07-10,76.072,79.43
2009-07-17,76.053,78.578
2009-07-24,79.11,77.985
2009-07-31,72.15,77.764
2009-08-07,75.4,78.101
2009-08-14,68.991,76.649
2009-08-21,64.629,75.266
2009-08-28,67.219,72.733
2009-09-03,61.084,68.677
2009-09-11,67.893,65.983
2009-09-18,70.793,65.945
2009-09-25,71.724,65.33
2009-09-30,71.203,66.245
2009-10-09,74.545,69.071
2009-10-16,77.714,71.788
2009-10-23,82.431,76.841
2009-10-30,84.085,80.183
2009-11-06,77.274,81.066
2009-11-13,78.989,82.119
2009-11-20,76.537,82.669
2009-11-27,70.04,80.711
2009-12-04,77.18,79.974
2009-12-11,77.397,78.476
2009-12-18,64.01,73.602
2009-12-25,65.924,71.03
2009-12-31,62.731,67.33
2010-01-08,56.558,62.92
2010-01-15,57.855,60.608
2010-01-22,58.514,56.629
2010-01-29,49.219,50.536
2010-02-05,51.604,48.384
2010-02-12,55.542,46.949
2010-02-26,59.359,47.381
2010-03-05,58.463,48.919
2010-03-12,56.876,49.575
2010-03-19,58.036,50.393
2010-03-26,58.026,53.278
2010-04-02,58.268,55.45
2010-04-09,57.551,56.085
2010-04-16,51.545,53.593
2010-04-23,45.55,49.844
2010-04-30,38.81,45.275
2010-05-07,33.915,39.589
2010-05-14,33.446,33.836
2010-05-21,30.154,27.556
2010-05-28,32.564,22.422
2010-06-04,30.901,18.994
2010-06-11,31.287,17.226
2010-06-18,30.361,16.558
2010-06-25,36.601,18.974
2010-07-02,31.975,20.231
2010-07-09,40.631,24.544
2010-07-16,43.06,28.641
2010-07-23,51.89,35.144
2010-07-30,53.112,41.76
2010-08-06,60.598,50.002
2010-08-13,59.717,55.591
2010-08-20,62.229,62.881
2010-08-27,57.918,66.091
2010-09-03,68.153,70.631
2010-09-10,62.796,71.542
2010-09-17,61.039,71.695
2010-09-21,56.938,69.255
2010-09-30,58.386,67.503
2010-10-08,60.008,65.718
2010-10-15,65.461,66.726
2010-10-22,74.291,67.345
2010-10-29,73.658,69.304
2010-11-05,71.449,71.109
2010-11-12,62.858,71.693
2010-11-19,60.237,71.212
2010-11-26,60.853,70.475
2010-12-03,54.034,66.65
2010-12-10,51.155,60.544
2010-12-17,54.165,55.631
2010-12-23,54.728,51.556
2010-12-31,48.781,48.31
2011-01-07,50.666,46.405
2011-01-14,51.086,44.469
2011-01-21,49.014,43.701
2011-01-28,55.989,46.001
2011-02-01,56.116,47.323
2011-02-11,61.503,49.987
2011-02-18,63.183,54.608
2011-02-25,59.198,57.206
2011-03-04,66.552,61.483
2011-03-11,61.73,64.903
2011-03-18,63.467,66.377
2011-03-25,67.765,68.828
2011-04-01,58.711,67.221
2011-04-08,57.766,64.944
2011-04-15,58.434,64.228
2011-04-22,49.889,59.472
2011-04-29,48.301,55.797
2011-05-06,43.481,50.626
2011-05-13,42.417,44.216
2011-05-20,42.732,40.452
2011-05-27,37.523,35.864
2011-06-03,40.227,32.059
2011-06-10,39.37,30.257
2011-06-17,39.297,28.805
2011-06-24,48.259,31.545
2011-07-01,49.114,34.764
2011-07-08,47.648,37.354
2011-07-15,46.414,40.582
2011-07-22,41.85,41.382
2011-07-29,39.116,41.643
2011-08-05,38.067,41.651
2011-08-12,33.925,37.556
2011-08-19,30.687,32.587
2011-08-26,34.33,29.434
2011-09-02,31.18,26.003
2011-09-09,30.054,23.779
2011-09-16,30.797,22.562
2011-09-23,30.235,21.476
2011-09-30,37.91,24.097
2011-10-14,36.14,26.733
2011-10-21,30.002,26.353
2011-10-28,33.456,27.764
2011-11-04,35.276,29.974
2011-11-11,32.842,31.186
2011-11-18,31.782,32.227
2011-11-25,29.878,29.994
2011-12-02,28.161,27.922
2011-12-09,25.199,26.889
2011-12-16,24.822,24.702
2011-12-23,24.042,21.779
2011-12-30,30.262,21.786
2012-01-06,28.343,21.502
2012-01-13,35.087,23.836
2012-01-20,35.875,26.844
2012-02-03,34.815,30.098
2012-02-10,36.135,33.856
2012-02-17,37.924,38.375
2012-02-24,42.862,42.16
2012-03-02,56.935,49.384
2012-03-09,55.346,53.917
2012-03-16,47.352,55.467
2012-03-23,44.224,56.5
2012-03-30,40.456,56.05
2012-04-06,43.745,55.921
2012-04-13,46.315,55.021
2012-04-20,45.383,50.979
2012-04-26,45.185,47.471
2012-05-04,47.606,47.465
2012-05-11,43.285,46.885
2012-05-17,41.273,46.73
2012-05-25,40.209,45.337
2012-06-01,46.381,45.31
2012-06-08,41.738,44.088
2012-06-15,43.718,43.56
2012-06-21,40.829,41.38
2012-06-29,37.866,39.874
2012-07-06,34.882,38.243
2012-07-13,32.727,36.441
2012-07-20,34.648,33.267
2012-07-27,33.695,31.338
2012-08-03,33.421,28.708
2012-08-10,36.188,28.062
2012-08-17,34.743,27.772
2012-08-24,33.224,27.762
